2026-04-06 13:31:26,894 [INFO]   reference_anchored/GSE44272: AUC=0.4889 (n=53, pos=35, feat=1001)
2026-04-06 13:31:44,826 [INFO]   reference_anchored/GSE4779: AUC=0.9996 (n=102, pos=39, feat=1001)
2026-04-06 13:32:02,782 [INFO]   reference_anchored/GSE48905: AUC=0.4722 (n=39, pos=15, feat=1001)
2026-04-06 13:32:20,630 [INFO]   reference_anchored/GSE50948: AUC=0.4882 (n=156, pos=53, feat=1001)
2026-04-06 13:32:38,573 [INFO]   reference_anchored/GSE5122: AUC=0.8396 (n=57, pos=4, feat=1001)
2026-04-06 13:32:56,537 [INFO]   reference_anchored/GSE61676: AUC=0.5000 (n=86, pos=46, feat=1001)
2026-04-06 13:33:14,509 [INFO]   reference_anchored/GSE62321: AUC=0.4318 (n=57, pos=26, feat=1001)
2026-04-06 13:33:32,447 [INFO]   reference_anchored/GSE63885: AUC=0.1487 (n=68, pos=65, feat=1001)
2026-04-06 13:33:50,413 [INFO]   reference_anchored/GSE65021: AUC=0.7240 (n=40, pos=31, feat=1001)
2026-04-06 13:34:08,424 [INFO]   reference_anchored/GSE66999: AUC=0.4762 (n=76, pos=70, feat=1001)
2026-04-06 13:34:26,435 [INFO]   reference_anchored/GSE6861: AUC=0.8900 (n=161, pos=66, feat=1001)
2026-04-06 13:34:44,375 [INFO]   reference_anchored/GSE68871: AUC=0.6112 (n=118, pos=97, feat=1001)
2026-04-06 13:35:02,284 [INFO]   reference_anchored/GSE72970: AUC=0.5615 (n=124, pos=63, feat=1001)
2026-04-06 13:35:20,175 [INFO]   reference_anchored/GSE73578: AUC=0.2500 (n=63, pos=40, feat=1001)
2026-04-06 13:35:38,140 [INFO]   reference_anchored/GSE76360: AUC=0.4909 (n=96, pos=66, feat=1001)
2026-04-06 13:35:56,151 [INFO]   reference_anchored/GSE82172: AUC=0.4693 (n=152, pos=21, feat=1001)
2026-04-06 13:36:14,192 [INFO]   reference_anchored/GSE8970: AUC=0.3254 (n=26, pos=13, feat=1001)
2026-04-06 13:36:32,117 [INFO]   reference_anchored/GSE9782: AUC=0.4837 (n=312, pos=180, feat=1001)
2026-04-06 13:36:49,857 [INFO]   reference_anchored/ISPY2: AUC=0.5207 (n=988, pos=319, feat=1001)
2026-04-06 13:36:49,857 [INFO]   → reference_anchored: Mean AUC = 0.5767 (717s)
2026-04-06 13:36:49,861 [INFO] 
============================================================
2026-04-06 13:36:49,861 [INFO] LODO with correction: frozen_combat
2026-04-06 13:36:49,861 [INFO] ============================================================
2026-04-06 13:37:07,700 [INFO]   frozen_combat/BrighTNess: AUC=0.5806 (n=482, pos=236, feat=1001)
2026-04-06 13:37:25,764 [INFO]   frozen_combat/GSE104645: AUC=0.4356 (n=126, pos=112, feat=1001)
2026-04-06 13:37:43,855 [INFO]   frozen_combat/GSE104958: AUC=0.6716 (n=46, pos=12, feat=1001)
2026-04-06 13:38:01,933 [INFO]   frozen_combat/GSE109211: AUC=0.4896 (n=140, pos=42, feat=1001)
2026-04-06 13:38:19,980 [INFO]   frozen_combat/GSE131978: AUC=0.4591 (n=37, pos=18, feat=1001)
2026-04-06 13:38:38,152 [INFO]   frozen_combat/GSE14615: AUC=0.4167 (n=20, pos=6, feat=1001)
2026-04-06 13:38:56,263 [INFO]   frozen_combat/GSE14671: AUC=0.4593 (n=59, pos=41, feat=1001)
2026-04-06 13:39:14,346 [INFO]   frozen_combat/GSE173263: AUC=0.6517 (n=39, pos=29, feat=1001)
2026-04-06 13:39:32,440 [INFO]   frozen_combat/GSE19293: AUC=0.5134 (n=52, pos=24, feat=1001)
2026-04-06 13:39:50,502 [INFO]   frozen_combat/GSE20181: AUC=0.3814 (n=154, pos=110, feat=1001)
2026-04-06 13:40:08,525 [INFO]   frozen_combat/GSE20194: AUC=0.9108 (n=278, pos=56, feat=1001)
2026-04-06 13:40:26,525 [INFO]   frozen_combat/GSE20271: AUC=0.7475 (n=178, pos=26, feat=1001)
2026-04-06 13:40:44,533 [INFO]   frozen_combat/GSE21974: AUC=0.5712 (n=57, pos=18, feat=1001)
2026-04-06 13:41:02,518 [INFO]   frozen_combat/GSE22093: AUC=0.7314 (n=97, pos=28, feat=1001)
2026-04-06 13:41:20,535 [INFO]   frozen_combat/GSE23988: AUC=0.9817 (n=61, pos=20, feat=1001)
2026-04-06 13:41:38,573 [INFO]   frozen_combat/GSE25066: AUC=0.8640 (n=488, pos=99, feat=1001)
2026-04-06 13:41:56,621 [INFO]   frozen_combat/GSE28702: AUC=0.5273 (n=83, pos=42, feat=1001)
2026-04-06 13:42:14,588 [INFO]   frozen_combat/GSE32646: AUC=0.7689 (n=115, pos=27, feat=1001)
2026-04-06 13:42:32,534 [INFO]   frozen_combat/GSE35640: AUC=0.5094 (n=56, pos=22, feat=1001)
2026-04-06 13:42:50,556 [INFO]   frozen_combat/GSE37946: AUC=0.6409 (n=50, pos=27, feat=1001)
2026-04-06 13:43:08,568 [INFO]   frozen_combat/GSE41998: AUC=0.6119 (n=206, pos=201, feat=1001)
2026-04-06 13:43:26,680 [INFO]   frozen_combat/GSE44272: AUC=0.4921 (n=53, pos=35, feat=1001)
2026-04-06 13:43:44,748 [INFO]   frozen_combat/GSE4779: AUC=0.9996 (n=102, pos=39, feat=1001)
2026-04-06 13:44:02,845 [INFO]   frozen_combat/GSE48905: AUC=0.4722 (n=39, pos=15, feat=1001)
2026-04-06 13:44:20,856 [INFO]   frozen_combat/GSE50948: AUC=0.4882 (n=156, pos=53, feat=1001)
2026-04-06 13:44:38,943 [INFO]   frozen_combat/GSE5122: AUC=0.8396 (n=57, pos=4, feat=1001)
2026-04-06 13:44:57,056 [INFO]   frozen_combat/GSE61676: AUC=0.5000 (n=86, pos=46, feat=1001)
2026-04-06 13:45:15,175 [INFO]   frozen_combat/GSE62321: AUC=0.4318 (n=57, pos=26, feat=1001)
2026-04-06 13:45:33,288 [INFO]   frozen_combat/GSE63885: AUC=0.1487 (n=68, pos=65, feat=1001)
2026-04-06 13:45:51,428 [INFO]   frozen_combat/GSE65021: AUC=0.7240 (n=40, pos=31, feat=1001)
2026-04-06 13:46:09,434 [INFO]   frozen_combat/GSE66999: AUC=0.4762 (n=76, pos=70, feat=1001)
2026-04-06 13:46:27,361 [INFO]   frozen_combat/GSE6861: AUC=0.8900 (n=161, pos=66, feat=1001)
2026-04-06 13:46:45,222 [INFO]   frozen_combat/GSE68871: AUC=0.6112 (n=118, pos=97, feat=1001)
2026-04-06 13:47:03,088 [INFO]   frozen_combat/GSE72970: AUC=0.5615 (n=124, pos=63, feat=1001)
2026-04-06 13:47:20,932 [INFO]   frozen_combat/GSE73578: AUC=0.2500 (n=63, pos=40, feat=1001)
2026-04-06 13:47:38,795 [INFO]   frozen_combat/GSE76360: AUC=0.4909 (n=96, pos=66, feat=1001)
2026-04-06 13:47:56,711 [INFO]   frozen_combat/GSE82172: AUC=0.4693 (n=152, pos=21, feat=1001)
2026-04-06 13:48:14,642 [INFO]   frozen_combat/GSE8970: AUC=0.3254 (n=26, pos=13, feat=1001)
2026-04-06 13:48:32,523 [INFO]   frozen_combat/GSE9782: AUC=0.4837 (n=312, pos=180, feat=1001)
2026-04-06 13:48:50,320 [INFO]   frozen_combat/ISPY2: AUC=0.5089 (n=988, pos=319, feat=1001)
2026-04-06 13:48:50,321 [INFO]   → frozen_combat: Mean AUC = 0.5772 (720s)
2026-04-06 13:48:50,325 [INFO] 
============================================================
2026-04-06 13:48:50,325 [INFO] LODO with correction: rank
2026-04-06 13:48:50,325 [INFO] ============================================================
2026-04-06 13:49:08,359 [INFO]   rank/BrighTNess: AUC=0.6022 (n=482, pos=236, feat=1001)
2026-04-06 13:49:26,922 [INFO]   rank/GSE104645: AUC=0.5300 (n=126, pos=112, feat=1001)
2026-04-06 13:49:44,881 [INFO]   rank/GSE104958: AUC=0.7255 (n=46, pos=12, feat=1001)
2026-04-06 13:50:02,844 [INFO]   rank/GSE109211: AUC=0.4609 (n=140, pos=42, feat=1001)
2026-04-06 13:50:21,277 [INFO]   rank/GSE131978: AUC=0.4708 (n=37, pos=18, feat=1001)
2026-04-06 13:50:39,324 [INFO]   rank/GSE14615: AUC=0.3452 (n=20, pos=6, feat=1001)
2026-04-06 13:50:57,243 [INFO]   rank/GSE14671: AUC=0.6057 (n=59, pos=41, feat=1001)
2026-04-06 13:51:15,213 [INFO]   rank/GSE173263: AUC=0.6414 (n=39, pos=29, feat=1001)
2026-04-06 13:51:33,198 [INFO]   rank/GSE19293: AUC=0.5774 (n=52, pos=24, feat=1001)
2026-04-06 13:51:51,248 [INFO]   rank/GSE20181: AUC=0.3246 (n=154, pos=110, feat=1001)
2026-04-06 13:52:09,144 [INFO]   rank/GSE20194: AUC=0.9484 (n=278, pos=56, feat=1001)
2026-04-06 13:52:27,052 [INFO]   rank/GSE20271: AUC=0.7487 (n=178, pos=26, feat=1001)
2026-04-06 13:52:44,995 [INFO]   rank/GSE21974: AUC=0.6553 (n=57, pos=18, feat=1001)
2026-04-06 13:53:02,920 [INFO]   rank/GSE22093: AUC=0.7117 (n=97, pos=28, feat=1001)
2026-04-06 13:53:20,911 [INFO]   rank/GSE23988: AUC=0.9793 (n=61, pos=20, feat=1001)
2026-04-06 13:53:38,829 [INFO]   rank/GSE25066: AUC=0.8849 (n=488, pos=99, feat=1001)
2026-04-06 13:53:56,783 [INFO]   rank/GSE28702: AUC=0.5465 (n=83, pos=42, feat=1001)
2026-04-06 13:54:14,788 [INFO]   rank/GSE32646: AUC=0.6473 (n=115, pos=27, feat=1001)
2026-04-06 13:54:32,812 [INFO]   rank/GSE35640: AUC=0.5856 (n=56, pos=22, feat=1001)
2026-04-06 13:54:50,728 [INFO]   rank/GSE37946: AUC=0.6940 (n=50, pos=27, feat=1001)
2026-04-06 13:55:08,662 [INFO]   rank/GSE41998: AUC=0.5453 (n=206, pos=201, feat=1001)
2026-04-06 13:55:26,671 [INFO]   rank/GSE44272: AUC=0.4175 (n=53, pos=35, feat=1001)
2026-04-06 13:55:44,621 [INFO]   rank/GSE4779: AUC=0.9902 (n=102, pos=39, feat=1001)
2026-04-06 13:56:02,588 [INFO]   rank/GSE48905: AUC=0.4333 (n=39, pos=15, feat=1001)
2026-04-06 13:56:20,514 [INFO]   rank/GSE50948: AUC=0.5437 (n=156, pos=53, feat=1001)
2026-04-06 13:56:38,437 [INFO]   rank/GSE5122: AUC=0.7594 (n=57, pos=4, feat=1001)
2026-04-06 13:56:56,513 [INFO]   rank/GSE61676: AUC=0.5000 (n=86, pos=46, feat=1001)
2026-04-06 13:57:14,749 [INFO]   rank/GSE62321: AUC=0.4553 (n=57, pos=26, feat=1001)
2026-04-06 13:57:33,254 [INFO]   rank/GSE63885: AUC=0.4205 (n=68, pos=65, feat=1001)
2026-04-06 13:57:51,435 [INFO]   rank/GSE65021: AUC=0.5806 (n=40, pos=31, feat=1001)
