correction_method	dataset_id	n_train	n_test	n_test_pos	n_features	auc	treatment_class
none	GSE104958	5552	46	12	1001	0.6985294117647058	chemo
none	GSE109211	5458	140	42	1001	0.5233236151603499	chemo
none	GSE131978	5561	37	18	1001	0.4970760233918129	chemo
none	GSE14615	5578	20	6	1001	0.35714285714285715	chemo
none	GSE14671	5539	59	41	1001	0.5636856368563685	chemo
none	GSE173263	5559	39	29	1001	0.6172413793103448	chemo
none	GSE19293	5546	52	24	1001	0.45684523809523814	chemo
none	GSE20181	5444	154	110	1001	0.4144628099173553	chemo
none	GSE20194	5320	278	56	1001	0.9112773487773487	chemo
none	GSE20271	5420	178	26	1001	0.7254554655870445	chemo
none	GSE21974	5541	57	18	1001	0.6623931623931624	chemo
none	GSE22093	5501	97	28	1001	0.6816770186335404	chemo
none	GSE23988	5537	61	20	1001	0.9756097560975611	chemo
none	GSE25066	5110	488	99	1001	0.8937186777803745	chemo
none	GSE28702	5515	83	42	1001	0.5987224157955866	chemo
none	GSE32646	5483	115	27	1001	0.6675084175084176	chemo
none	GSE35640	5542	56	22	1001	0.5240641711229946	chemo
none	GSE37946	5548	50	27	1001	0.6553945249597424	chemo
none	GSE41998	5392	206	201	1001	0.5950248756218905	chemo
none	GSE44272	5545	53	35	1001	0.5571428571428572	chemo
none	GSE4779	5496	102	39	1001	0.9967439967439967	chemo
none	GSE48905	5559	39	15	1001	0.5	chemo
none	GSE50948	5442	156	53	1001	0.44275508334859864	chemo
none	GSE5122	5541	57	4	1001	0.7452830188679245	chemo
none	GSE61676	5512	86	46	1001	0.5	chemo
none	GSE62321	5541	57	26	1001	0.4466501240694789	chemo
none	GSE63885	5530	68	65	1001	0.23076923076923078	chemo
none	GSE65021	5558	40	31	1001	0.6344086021505376	chemo
none	GSE66999	5522	76	70	1001	0.5	chemo
none	GSE6861	5437	161	66	1001	0.8811802232854865	chemo
none	GSE68871	5480	118	97	1001	0.6254295532646048	chemo
none	GSE72970	5474	124	63	1001	0.5870413739266198	chemo
none	GSE73578	5535	63	40	1001	0.2967391304347826	chemo
none	GSE76360	5502	96	66	1001	0.5106060606060606	chemo
none	GSE82172	5446	152	21	1001	0.48127953471464924	chemo
none	GSE8970	5572	26	13	1001	0.5207100591715976	chemo
none	GSE9782	5286	312	180	1001	0.45054713804713803	chemo
none	ISPY2	4610	988	319	1001	0.5281171073655997	combination
reference_anchored	BrighTNess	5116	482	236	1001	0.6040374810527767	parp
reference_anchored	GSE104645	5472	126	112	1001	0.43558673469387754	chemo
reference_anchored	GSE104958	5552	46	12	1001	0.6715686274509804	chemo
reference_anchored	GSE109211	5458	140	42	1001	0.48955296404275994	chemo
reference_anchored	GSE131978	5561	37	18	1001	0.4590643274853802	chemo
reference_anchored	GSE14615	5578	20	6	1001	0.41666666666666663	chemo
reference_anchored	GSE14671	5539	59	41	1001	0.4593495934959349	chemo
reference_anchored	GSE173263	5559	39	29	1001	0.6517241379310345	chemo
reference_anchored	GSE19293	5546	52	24	1001	0.5133928571428572	chemo
reference_anchored	GSE20181	5444	154	110	1001	0.381404958677686	chemo
reference_anchored	GSE20194	5320	278	56	1001	0.9107947232947233	chemo
reference_anchored	GSE20271	5420	178	26	1001	0.7474696356275303	chemo
reference_anchored	GSE21974	5541	57	18	1001	0.5712250712250713	chemo
reference_anchored	GSE22093	5501	97	28	1001	0.7313664596273292	chemo
reference_anchored	GSE23988	5537	61	20	1001	0.9817073170731707	chemo
reference_anchored	GSE25066	5110	488	99	1001	0.8639869128301005	chemo
reference_anchored	GSE28702	5515	83	42	1001	0.4825783972125436	chemo
reference_anchored	GSE32646	5483	115	27	1001	0.7689393939393939	chemo
reference_anchored	GSE35640	5542	56	22	1001	0.5026737967914439	chemo
reference_anchored	GSE37946	5548	50	27	1001	0.640901771336554	chemo
reference_anchored	GSE41998	5392	206	201	1001	0.6119402985074627	chemo
reference_anchored	GSE44272	5545	53	35	1001	0.48888888888888893	chemo
reference_anchored	GSE4779	5496	102	39	1001	0.9995929995929996	chemo
reference_anchored	GSE48905	5559	39	15	1001	0.4722222222222222	chemo
reference_anchored	GSE50948	5442	156	53	1001	0.4881846492031507	chemo
reference_anchored	GSE5122	5541	57	4	1001	0.839622641509434	chemo
reference_anchored	GSE61676	5512	86	46	1001	0.5	chemo
reference_anchored	GSE62321	5541	57	26	1001	0.43176178660049624	chemo
reference_anchored	GSE63885	5530	68	65	1001	0.14871794871794872	chemo
reference_anchored	GSE65021	5558	40	31	1001	0.7240143369175627	chemo
reference_anchored	GSE66999	5522	76	70	1001	0.47619047619047616	chemo
reference_anchored	GSE6861	5437	161	66	1001	0.8899521531100478	chemo
reference_anchored	GSE68871	5480	118	97	1001	0.6111929307805597	chemo
reference_anchored	GSE72970	5474	124	63	1001	0.5615404631798074	chemo
reference_anchored	GSE73578	5535	63	40	1001	0.25	chemo
reference_anchored	GSE76360	5502	96	66	1001	0.49090909090909085	chemo
reference_anchored	GSE82172	5446	152	21	1001	0.4692838967648128	chemo
reference_anchored	GSE8970	5572	26	13	1001	0.3254437869822485	chemo
reference_anchored	GSE9782	5286	312	180	1001	0.4836910774410774	chemo
reference_anchored	ISPY2	4610	988	319	1001	0.5206854379577436	combination
frozen_combat	BrighTNess	5116	482	236	1001	0.5806290478159019	parp
frozen_combat	GSE104645	5472	126	112	1001	0.43558673469387754	chemo
frozen_combat	GSE104958	5552	46	12	1001	0.6715686274509804	chemo
frozen_combat	GSE109211	5458	140	42	1001	0.48955296404275994	chemo
frozen_combat	GSE131978	5561	37	18	1001	0.4590643274853802	chemo
frozen_combat	GSE14615	5578	20	6	1001	0.41666666666666663	chemo
frozen_combat	GSE14671	5539	59	41	1001	0.4593495934959349	chemo
frozen_combat	GSE173263	5559	39	29	1001	0.6517241379310345	chemo
frozen_combat	GSE19293	5546	52	24	1001	0.5133928571428572	chemo
frozen_combat	GSE20181	5444	154	110	1001	0.381404958677686	chemo
frozen_combat	GSE20194	5320	278	56	1001	0.9107947232947233	chemo
frozen_combat	GSE20271	5420	178	26	1001	0.7474696356275303	chemo
frozen_combat	GSE21974	5541	57	18	1001	0.5712250712250713	chemo
frozen_combat	GSE22093	5501	97	28	1001	0.7313664596273292	chemo
frozen_combat	GSE23988	5537	61	20	1001	0.9817073170731707	chemo
frozen_combat	GSE25066	5110	488	99	1001	0.8639869128301005	chemo
frozen_combat	GSE28702	5515	83	42	1001	0.5272938443670151	chemo
frozen_combat	GSE32646	5483	115	27	1001	0.7689393939393939	chemo
frozen_combat	GSE35640	5542	56	22	1001	0.5093582887700534	chemo
frozen_combat	GSE37946	5548	50	27	1001	0.640901771336554	chemo
frozen_combat	GSE41998	5392	206	201	1001	0.6119402985074627	chemo
frozen_combat	GSE44272	5545	53	35	1001	0.4920634920634921	chemo
frozen_combat	GSE4779	5496	102	39	1001	0.9995929995929996	chemo
frozen_combat	GSE48905	5559	39	15	1001	0.4722222222222222	chemo
frozen_combat	GSE50948	5442	156	53	1001	0.4881846492031507	chemo
frozen_combat	GSE5122	5541	57	4	1001	0.839622641509434	chemo
frozen_combat	GSE61676	5512	86	46	1001	0.5	chemo
frozen_combat	GSE62321	5541	57	26	1001	0.43176178660049624	chemo
frozen_combat	GSE63885	5530	68	65	1001	0.14871794871794872	chemo
frozen_combat	GSE65021	5558	40	31	1001	0.7240143369175627	chemo
frozen_combat	GSE66999	5522	76	70	1001	0.47619047619047616	chemo
frozen_combat	GSE6861	5437	161	66	1001	0.8899521531100478	chemo
frozen_combat	GSE68871	5480	118	97	1001	0.6111929307805597	chemo
frozen_combat	GSE72970	5474	124	63	1001	0.5615404631798074	chemo
frozen_combat	GSE73578	5535	63	40	1001	0.25	chemo
frozen_combat	GSE76360	5502	96	66	1001	0.49090909090909085	chemo
frozen_combat	GSE82172	5446	152	21	1001	0.4692838967648128	chemo
frozen_combat	GSE8970	5572	26	13	1001	0.3254437869822485	chemo
frozen_combat	GSE9782	5286	312	180	1001	0.4836910774410774	chemo
frozen_combat	ISPY2	4610	988	319	1001	0.5088772368809481	combination
rank	BrighTNess	5116	482	236	1001	0.6022116577097975	parp
rank	GSE104645	5472	126	112	1001	0.5299744897959183	chemo
rank	GSE104958	5552	46	12	1001	0.7254901960784313	chemo
rank	GSE109211	5458	140	42	1001	0.4608843537414966	chemo
rank	GSE131978	5561	37	18	1001	0.47076023391812866	chemo
rank	GSE14615	5578	20	6	1001	0.3452380952380952	chemo
rank	GSE14671	5539	59	41	1001	0.6056910569105692	chemo
rank	GSE173263	5559	39	29	1001	0.6413793103448276	chemo
rank	GSE19293	5546	52	24	1001	0.5773809523809524	chemo
rank	GSE20181	5444	154	110	1001	0.3245867768595041	chemo
rank	GSE20194	5320	278	56	1001	0.9484395109395111	chemo
rank	GSE20271	5420	178	26	1001	0.7487348178137652	chemo
rank	GSE21974	5541	57	18	1001	0.6552706552706553	chemo
rank	GSE22093	5501	97	28	1001	0.7116977225672878	chemo
rank	GSE23988	5537	61	20	1001	0.9792682926829268	chemo
rank	GSE25066	5110	488	99	1001	0.8849159980265379	chemo
rank	GSE28702	5515	83	42	1001	0.5464576074332173	chemo
rank	GSE32646	5483	115	27	1001	0.6473063973063973	chemo
rank	GSE35640	5542	56	22	1001	0.5855614973262032	chemo
rank	GSE37946	5548	50	27	1001	0.6940418679549114	chemo
rank	GSE41998	5392	206	201	1001	0.545273631840796	chemo
rank	GSE44272	5545	53	35	1001	0.4174603174603174	chemo
rank	GSE4779	5496	102	39	1001	0.9902319902319903	chemo
rank	GSE48905	5559	39	15	1001	0.43333333333333335	chemo
rank	GSE50948	5442	156	53	1001	0.5436893203883494	chemo
rank	GSE5122	5541	57	4	1001	0.7594339622641509	chemo
rank	GSE61676	5512	86	46	1001	0.5	chemo
rank	GSE62321	5541	57	26	1001	0.45533498759305213	chemo
rank	GSE63885	5530	68	65	1001	0.4205128205128205	chemo
rank	GSE65021	5558	40	31	1001	0.5806451612903226	chemo
rank	GSE66999	5522	76	70	1001	0.5	chemo
rank	GSE6861	5437	161	66	1001	0.8866028708133972	chemo
rank	GSE68871	5480	118	97	1001	0.6367206676485027	chemo
rank	GSE72970	5474	124	63	1001	0.4579755399427531	chemo
rank	GSE73578	5535	63	40	1001	0.5641304347826087	chemo
rank	GSE76360	5502	96	66	1001	0.5651515151515152	chemo
rank	GSE82172	5446	152	21	1001	0.34423845874227554	chemo
rank	GSE8970	5572	26	13	1001	0.5621301775147929	chemo
rank	GSE9782	5286	312	180	1001	0.451010101010101	chemo
rank	ISPY2	4610	988	319	1001	0.5097534803735515	combination
quantile	BrighTNess	5116	482	236	1001	0.6202976436544025	parp
quantile	GSE104645	5472	126	112	1001	0.4432397959183674	chemo
quantile	GSE104958	5552	46	12	1001	0.7034313725490197	chemo
quantile	GSE109211	5458	140	42	1001	0.5568513119533528	chemo
quantile	GSE131978	5561	37	18	1001	0.49122807017543857	chemo
quantile	GSE14615	5578	20	6	1001	0.40476190476190477	chemo
quantile	GSE14671	5539	59	41	1001	0.5636856368563686	chemo
quantile	GSE173263	5559	39	29	1001	0.6551724137931034	chemo
quantile	GSE19293	5546	52	24	1001	0.42708333333333337	chemo
quantile	GSE20181	5444	154	110	1001	0.29979338842975206	chemo
quantile	GSE20194	5320	278	56	1001	0.9497265122265123	chemo
quantile	GSE20271	5420	178	26	1001	0.7656882591093117	chemo
quantile	GSE21974	5541	57	18	1001	0.6581196581196581	chemo
quantile	GSE22093	5501	97	28	1001	0.7034161490683231	chemo
quantile	GSE23988	5537	61	20	1001	0.9804878048780488	chemo
quantile	GSE25066	5110	488	99	1001	0.8931474124276182	chemo
quantile	GSE28702	5515	83	42	1001	0.5209059233449478	chemo
quantile	GSE32646	5483	115	27	1001	0.6536195286195287	chemo
quantile	GSE35640	5542	56	22	1001	0.6270053475935828	chemo
quantile	GSE37946	5548	50	27	1001	0.6473429951690821	chemo
quantile	GSE41998	5392	206	201	1001	0.5900497512437811	chemo
quantile	GSE44272	5545	53	35	1001	0.4412698412698413	chemo
quantile	GSE4779	5496	102	39	1001	0.993080993080993	chemo
quantile	GSE48905	5559	39	15	1001	0.475	chemo
quantile	GSE50948	5442	156	53	1001	0.5308664590584357	chemo
quantile	GSE5122	5541	57	4	1001	0.839622641509434	chemo
quantile	GSE61676	5512	86	46	1001	0.5	chemo
quantile	GSE62321	5541	57	26	1001	0.435483870967742	chemo
quantile	GSE63885	5530	68	65	1001	0.4871794871794872	chemo
quantile	GSE65021	5558	40	31	1001	0.6272401433691757	chemo
quantile	GSE66999	5522	76	70	1001	0.5238095238095238	chemo
quantile	GSE6861	5437	161	66	1001	0.8779904306220097	chemo
quantile	GSE68871	5480	118	97	1001	0.5571919489445263	chemo
quantile	GSE72970	5474	124	63	1001	0.5191256830601092	chemo
quantile	GSE73578	5535	63	40	1001	0.5771739130434782	chemo
quantile	GSE76360	5502	96	66	1001	0.5510101010101011	chemo
quantile	GSE82172	5446	152	21	1001	0.5009087604507452	chemo
quantile	GSE8970	5572	26	13	1001	0.5857988165680473	chemo
quantile	GSE9782	5286	312	180	1001	0.4218013468013468	chemo
quantile	ISPY2	4610	988	319	1001	0.5072606379240058	combination
