config	dataset_id	n_test	n_test_pos	auc
supervised_two_step	GSE23988	61	20	0.6024390243902439
supervised_two_step	GSE25066	488	99	0.642309989353691
supervised_two_step	GSE28702	83	42	0.43844367015098723
supervised_two_step	GSE32646	115	27	0.5875420875420876
supervised_two_step	GSE35640	56	22	0.6310160427807486
supervised_two_step	GSE37946	50	27	0.7214170692431562
supervised_two_step	GSE41998	206	201	0.5741293532338309
supervised_two_step	GSE44272	53	35	0.46031746031746035
supervised_two_step	GSE4779	102	39	0.6373626373626374
supervised_two_step	GSE48905	39	15	0.6527777777777778
supervised_two_step	GSE50948	156	53	0.4843377908041766
supervised_two_step	GSE5122	57	4	0.7688679245283019
supervised_two_step	GSE61676	86	46	0.5
supervised_two_step	GSE62321	57	26	0.3622828784119107
supervised_two_step	GSE63885	68	65	0.5282051282051282
supervised_two_step	GSE65021	40	31	0.4659498207885305
supervised_two_step	GSE66999	76	70	0.6976190476190477
supervised_two_step	GSE6861	161	66	0.6658692185007975
supervised_two_step	GSE68871	118	97	0.4796269023073147
supervised_two_step	GSE72970	124	63	0.5050741608118656
supervised_two_step	GSE73578	63	40	0.6315217391304349
supervised_two_step	GSE76360	96	66	0.6232323232323234
supervised_two_step	GSE82172	152	21	0.5401672119229372
supervised_two_step	GSE8970	26	13	0.8402366863905325
supervised_two_step	GSE9782	312	180	0.5366582491582491
supervised_two_step	ISPY2	988	319	0.515442034384357
combat_no_labels	BrighTNess	482	236	0.6407434201460659
combat_no_labels	GSE104645	126	112	0.47640306122448983
combat_no_labels	GSE104958	46	12	0.571078431372549
combat_no_labels	GSE109211	140	42	0.738581146744412
combat_no_labels	GSE131978	37	18	0.4941520467836258
combat_no_labels	GSE14615	20	6	0.30952380952380953
combat_no_labels	GSE14671	59	41	0.6327913279132791
combat_no_labels	GSE173263	39	29	0.46551724137931033
combat_no_labels	GSE19293	52	24	0.6443452380952381
combat_no_labels	GSE20181	154	110	0.406198347107438
combat_no_labels	GSE20194	278	56	0.8968790218790219
combat_no_labels	GSE20271	178	26	0.7158400809716599
combat_no_labels	GSE21974	57	18	0.6937321937321937
combat_no_labels	GSE22093	97	28	0.6014492753623188
combat_no_labels	GSE23988	61	20	0.9378048780487804
combat_no_labels	GSE25066	488	99	0.8786840123601048
combat_no_labels	GSE28702	83	42	0.4849012775842044
combat_no_labels	GSE32646	115	27	0.7104377104377104
combat_no_labels	GSE35640	56	22	0.5240641711229946
combat_no_labels	GSE37946	50	27	0.7745571658615137
combat_no_labels	GSE41998	206	201	0.7154228855721393
combat_no_labels	GSE44272	53	35	0.48730158730158735
combat_no_labels	GSE4779	102	39	0.9967439967439967
combat_no_labels	GSE48905	39	15	0.4166666666666667
combat_no_labels	GSE50948	156	53	0.5259204982597545
combat_no_labels	GSE5122	57	4	0.7264150943396226
combat_no_labels	GSE61676	86	46	0.5
combat_no_labels	GSE62321	57	26	0.6066997518610423
combat_no_labels	GSE63885	68	65	0.21538461538461542
combat_no_labels	GSE65021	40	31	0.5698924731182795
combat_no_labels	GSE66999	76	70	0.3833333333333333
combat_no_labels	GSE6861	161	66	0.8342902711323764
combat_no_labels	GSE68871	118	97	0.5046637211585665
combat_no_labels	GSE72970	124	63	0.5222482435597189
combat_no_labels	GSE73578	63	40	0.7380434782608696
combat_no_labels	GSE76360	96	66	0.6353535353535353
combat_no_labels	GSE82172	152	21	0.490003635041803
combat_no_labels	GSE8970	26	13	0.6568047337278107
combat_no_labels	GSE9782	312	180	0.5228956228956229
combat_no_labels	ISPY2	988	319	0.5332621092633463
quantile	BrighTNess	482	236	0.6172144136695604
quantile	GSE104645	126	112	0.41581632653061223
quantile	GSE104958	46	12	0.6372549019607843
quantile	GSE109211	140	42	0.6659378036929058
quantile	GSE131978	37	18	0.6257309941520468
quantile	GSE14615	20	6	0.39285714285714285
quantile	GSE14671	59	41	0.5433604336043361
quantile	GSE173263	39	29	0.43448275862068964
quantile	GSE19293	52	24	0.5803571428571428
quantile	GSE20181	154	110	0.32520661157024794
quantile	GSE20194	278	56	0.8970398970398971
quantile	GSE20271	178	26	0.7211538461538463
quantile	GSE21974	57	18	0.6267806267806268
quantile	GSE22093	97	28	0.6180124223602484
quantile	GSE23988	61	20	0.947560975609756
quantile	GSE25066	488	99	0.8649996105008958
quantile	GSE28702	83	42	0.5470383275261325
quantile	GSE32646	115	27	0.6624579124579125
quantile	GSE35640	56	22	0.5013368983957219
quantile	GSE37946	50	27	0.7584541062801932
quantile	GSE41998	206	201	0.5442786069651742
quantile	GSE44272	53	35	0.4190476190476191
quantile	GSE4779	102	39	0.9869759869759869
quantile	GSE48905	39	15	0.4805555555555556
quantile	GSE50948	156	53	0.5341637662575562
quantile	GSE5122	57	4	0.7075471698113208
quantile	GSE61676	86	46	0.5
quantile	GSE62321	57	26	0.4975186104218362
quantile	GSE63885	68	65	0.4717948717948718
quantile	GSE65021	40	31	0.48745519713261654
quantile	GSE66999	76	70	0.5119047619047619
quantile	GSE6861	161	66	0.8875598086124402
quantile	GSE68871	118	97	0.49680903289150713
quantile	GSE72970	124	63	0.482695810564663
quantile	GSE73578	63	40	0.733695652173913
quantile	GSE76360	96	66	0.4813131313131313
quantile	GSE82172	152	21	0.4609233006179571
quantile	GSE8970	26	13	0.6627218934911243
quantile	GSE9782	312	180	0.5041245791245791
quantile	ISPY2	988	319	0.5162245619953986
