dataset_id	212g_leaked_combat_no_labels	212g_leaked_combat_with_labels	212g_quantile	954g_leaked_combat_no_labels	954g_leaked_combat_with_labels	954g_quantile	n_patients	n_responders	n_nonresponders	response_rate	n_genes_available	treatment_class
GSE5122	0.6367924528301887	1.0	0.6179245283018868	0.7264150943396226	0.7688679245283019	0.8018867924528302	57	4	53	0.07	13237	chemo
GSE35640	0.5360962566844919	0.5788770053475936	0.553475935828877	0.5481283422459893	0.6363636363636364	0.6149732620320856	56	22	34	0.393	22880	chemo
GSE44272	0.5349206349206349	0.9873015873015873	0.4047619047619048	0.5206349206349207	1.0	0.4142857142857143	53	35	18	0.66	19468	chemo
GSE19293	0.6458333333333333	0.49553571428571436	0.6205357142857143	0.4375	0.44642857142857145	0.45535714285714285	52	24	28	0.462	22880	chemo
GSE37946	0.7809983896940419	1.0	0.7697262479871175	0.6714975845410628	0.6972624798711755	0.6215780998389694	50	27	23	0.54	13237	chemo
GSE104958	0.5931372549019608	0.7303921568627451	0.6519607843137255	0.6421568627450981	0.6225490196078431	0.6323529411764706	46	12	34	0.261	34729	chemo
GSE65021	0.5197132616487455	1.0	0.5448028673835126	0.6523297491039426	1.0	0.5698924731182795	40	31	9	0.775	20819	chemo
GSE173263	0.42068965517241375	0.6586206896551724	0.4068965517241379	0.6413793103448275	0.4827586206896552	0.7551724137931035	39	29	10	0.744	19468	chemo
GSE48905	0.33611111111111114	0.6	0.44722222222222224	0.4888888888888889	0.4611111111111111	0.43333333333333335	39	15	24	0.385	22880	chemo
GSE131978	0.5087719298245614	1.0	0.5994152046783626	0.4590643274853801	0.5087719298245614	0.6140350877192982	37	18	19	0.486	13237	chemo
GSE8970	0.5739644970414202	1.0	0.727810650887574	0.46745562130177515	0.41420118343195267	0.44378698224852076	26	13	13	0.5	13237	chemo
GSE14615	0.26190476190476186	0.38095238095238093	0.23809523809523814	0.34523809523809523	0.4047619047619047	0.4642857142857143	20	6	14	0.3	22880	chemo
