config	dataset_id	n_test	n_test_pos	auc
954g_leaked_combat_no_labels	GSE4779	102	39	0.9987789987789988
954g_leaked_combat_no_labels	GSE48905	39	15	0.4888888888888889
954g_leaked_combat_no_labels	GSE50948	156	53	0.49477926360139224
954g_leaked_combat_no_labels	GSE5122	57	4	0.7264150943396226
954g_leaked_combat_no_labels	GSE61676	86	46	0.5
954g_leaked_combat_no_labels	GSE62321	57	26	0.37965260545905705
954g_leaked_combat_no_labels	GSE63885	68	65	0.19487179487179487
954g_leaked_combat_no_labels	GSE65021	40	31	0.6523297491039426
954g_leaked_combat_no_labels	GSE66999	76	70	0.5023809523809524
954g_leaked_combat_no_labels	GSE6861	161	66	0.8625199362041467
954g_leaked_combat_no_labels	GSE68871	118	97	0.5257731958762887
954g_leaked_combat_no_labels	GSE72970	124	63	0.56128024980484
954g_leaked_combat_no_labels	GSE73578	63	40	0.22608695652173913
954g_leaked_combat_no_labels	GSE76360	96	66	0.47979797979797983
954g_leaked_combat_no_labels	GSE82172	152	21	0.4921846601235914
954g_leaked_combat_no_labels	GSE8970	26	13	0.46745562130177515
954g_leaked_combat_no_labels	GSE9782	312	180	0.49419191919191924
954g_leaked_combat_no_labels	ISPY2	988	319	0.5299258238797437
954g_quantile	BrighTNess	482	236	0.6012815212897891
954g_quantile	GSE104645	126	112	0.5650510204081632
954g_quantile	GSE104958	46	12	0.6323529411764706
954g_quantile	GSE109211	140	42	0.6712827988338192
954g_quantile	GSE131978	37	18	0.6140350877192982
954g_quantile	GSE14615	20	6	0.4642857142857143
954g_quantile	GSE14671	59	41	0.5325203252032521
954g_quantile	GSE173263	39	29	0.7551724137931035
954g_quantile	GSE19293	52	24	0.45535714285714285
954g_quantile	GSE20181	154	110	0.331198347107438
954g_quantile	GSE20194	278	56	0.9370978120978121
954g_quantile	GSE20271	178	26	0.7593623481781377
954g_quantile	GSE21974	57	18	0.6666666666666666
954g_quantile	GSE22093	97	28	0.7241200828157349
954g_quantile	GSE23988	61	20	0.9841463414634146
954g_quantile	GSE25066	488	99	0.8788657786087091
954g_quantile	GSE28702	83	42	0.5563298490127759
954g_quantile	GSE32646	115	27	0.6527777777777777
954g_quantile	GSE35640	56	22	0.6149732620320856
954g_quantile	GSE37946	50	27	0.6215780998389694
954g_quantile	GSE41998	206	201	0.6805970149253732
954g_quantile	GSE44272	53	35	0.4142857142857143
954g_quantile	GSE4779	102	39	0.9898249898249898
954g_quantile	GSE48905	39	15	0.43333333333333335
954g_quantile	GSE50948	156	53	0.5570617329181169
954g_quantile	GSE5122	57	4	0.8018867924528302
954g_quantile	GSE61676	86	46	0.5
954g_quantile	GSE62321	57	26	0.44292803970223327
954g_quantile	GSE63885	68	65	0.3897435897435898
954g_quantile	GSE65021	40	31	0.5698924731182795
954g_quantile	GSE66999	76	70	0.5714285714285714
954g_quantile	GSE6861	161	66	0.8728867623604465
954g_quantile	GSE68871	118	97	0.6602847324496809
954g_quantile	GSE72970	124	63	0.5063752276867031
954g_quantile	GSE73578	63	40	0.5826086956521739
954g_quantile	GSE76360	96	66	0.5141414141414142
954g_quantile	GSE82172	152	21	0.3718647764449291
954g_quantile	GSE8970	26	13	0.44378698224852076
954g_quantile	GSE9782	312	180	0.5213383838383838
954g_quantile	ISPY2	988	319	0.5142190421299746
