feature	type	nmi_raw	nmi_combat_no_labels	nmi_combat_leaked	leaked_minus_raw	leaked_minus_nolabels
FOS	gene	0.0015145273846853308	0.0011634645240852684	0.004958446389211408	0.003443919004526077	0.0037949818651261394
HIF1A	gene	0.0010230774347131388	0.0010584630412871102	0.004929764795565192	0.003906687360852054	0.0038713017542780824
BCL2L1	gene	0.0006325960956346805	0.0006335676473208213	0.00492105543015452	0.0042884593345198395	0.0042874877828336985
APC	gene	0.0009082479765482931	0.0008935867786163914	0.004910708054706509	0.004002460078158216	0.004017121276090118
ssgsea_PI3K/AKT/mTOR  Signaling	pathway	0.0026382107177967675	0.00048090707931722643	0.004871174896447042	0.0022329641786502747	0.004390267817129816
CYP3A4	gene	0.0019082060896329586	0.0019245649347238419	0.004865345783206543	0.0029571396935735845	0.0029407808484827012
ABCB1	gene	0.001817266370505899	0.0018376780006304726	0.00485095050602594	0.0030336841355200405	0.003013272505395467
MAP3K1	gene	0.0017275467909776084	0.0017415385734043775	0.004840364946136026	0.0031128181551584176	0.0030988263727316483
TP53	gene	0.0008073734067199006	0.0008386594128854347	0.004804817283378869	0.003997443876658968	0.003966157870493435
ATR	gene	0.001569670882339139	0.0015898654059646538	0.0048015559762264555	0.0032318850938873166	0.003211690570261802
POU5F1	gene	0.002248779836202445	0.0022370844874894744	0.004765281500100495	0.0025165016638980502	0.002528197012611021
ssgsea_Mitotic Spindle	pathway	0.0027726951915254773	0.0015231786410627658	0.00472601477520048	0.0019533195836750027	0.003202836134137714
LDHA	gene	0.0008815556361289017	0.0008663001296897197	0.0047228895560249345	0.0038413339198960328	0.003856589426335215
MAP2K1	gene	0.0012779691128807285	0.0013204709361620893	0.004717623266092812	0.003439654153212083	0.003397152329930722
ssgsea_Myc Targets V2	pathway	0.001999014635269203	0.0010513013151142183	0.004715850340382606	0.0027168357051134033	0.003664549025268388
SQLE	gene	0.0010360207980172186	0.0010299989654276938	0.004711699079249488	0.003675678281232269	0.003681700113821794
PDGFRA	gene	0.0012272196026239593	0.001276009394625296	0.004696446663932095	0.0034692270613081357	0.003420437269306799
CCNA2	gene	0.0024303689437169987	0.002452212127478535	0.004664944169503643	0.002234575225786644	0.0022127320420251076
CDH1	gene	0.0021586128181551004	0.0021706457519619356	0.004656219024313858	0.0024976062061587575	0.0024855732723519223
UBB	gene	0.00022533611857166692	0.00022388099736628345	0.004629573613410033	0.0044042374948383665	0.00440569261604375
ERBB2	gene	0.0009889565127074278	0.0008174151626882689	0.004616992764517817	0.0036280362518103897	0.0037995776018295486
TNF	gene	0.0009468807165668082	0.0009779242136715948	0.004595979988222974	0.0036490992716561657	0.003618055774551379
CDKN1A	gene	0.0009125310020643541	0.000927667816122987	0.004593251649826388	0.0036807206477620334	0.0036655838337034006
EGR1	gene	0.0008351327097275609	0.000806945310883577	0.004578542740954748	0.0037434100312271866	0.0037715974300711707
VHL	gene	0.0006311827048053746	0.0006562339615298966	0.004565527884666196	0.003934345179860821	0.0039092939231362995
ssgsea_TNF-alpha Signaling via NF-kB	pathway	0.002359610658207714	0.002719671681972107	0.004565179108994252	0.002205568450786538	0.0018455074270221448
NTRK1	gene	0.0021837254720645555	0.0021081350481872417	0.00452664159539907	0.0023429161233345145	0.0024185065472118283
SLCO1B1	gene	0.002025393584962306	0.003490643809553904	0.004517069867797993	0.0024916762828356867	0.0010264260582440888
ssgsea_Hypoxia	pathway	0.0008742669993783915	0.0009596675002848782	0.004513980620696045	0.0036397136213176533	0.0035543131204111666
SHH	gene	0.0021044271139847278	0.0020967904933558964	0.004497601092638505	0.002393173978653777	0.0024008105992826085
CASP8	gene	0.0007987295474530678	0.0007987295474530678	0.004482738181618882	0.0036840086341658144	0.0036840086341658144
PSMB5	gene	0.0006828934360984436	0.0006828934360984436	0.004472749452960213	0.00378985601686177	0.00378985601686177
ssgsea_IL-2/STAT5 Signaling	pathway	0.0004489533650745984	0.0008367718823415781	0.004424717603344597	0.003975764238269999	0.003587945721003019
G6PD	gene	0.0014971391773876297	0.0016431166295400065	0.004377396503058551	0.0028802573256709214	0.0027342798735185444
KAT2A	gene	0.0008800510075313383	0.0008800510075313383	0.004332353505923464	0.003452302498392126	0.003452302498392126
AURKB	gene	0.0014815936541354925	0.0014842058063075307	0.004330491315915597	0.0028488976617801046	0.0028462855096080663
XIAP	gene	0.002633465542555755	0.002639371624153441	0.004312392163172932	0.0016789266206171769	0.0016730205390194908
JAG1	gene	0.0011046358488659082	0.001123000007696062	0.004308465121641925	0.0032038292727760167	0.003185465113945863
RET	gene	0.0009648116538816314	0.0007439633718032406	0.0042904510778215554	0.003325639423939924	0.003546487706018315
ssgsea_Notch Signaling	pathway	0.006183750183876308	0.0062412954846359095	0.004268035636197509	-0.0019157145476787997	-0.001973259848438401
PARP2	gene	0.0010582386508499778	0.0009777434053282147	0.0042640009869803295	0.003205762336130352	0.003286257581652115
BCL2L11	gene	0.0007681436090177802	0.0007864532682576413	0.0042234977897789485	0.003455354180761168	0.0034370445215213073
TBP	gene	0.000939559530349898	0.0009173969162683662	0.004212039533203968	0.0032724800028540698	0.0032946426169356015
ssgsea_E2F Targets	pathway	0.002099124717636865	0.0027149291947209664	0.004152797204962867	0.002053672487326002	0.0014378680102419003
SMO	gene	0.0007459768151306122	0.0007459768151306122	0.004151925283357884	0.003405948468227272	0.003405948468227272
HSPA1A	gene	0.0010692116105197045	0.0010700943976085812	0.0041133234453799225	0.003044111834860218	0.0030432290477713413
TGFB1	gene	0.0011186178049994147	0.0011062576936808671	0.004089309508531445	0.0029706917035320305	0.002983051814850578
KRAS	gene	0.0006826294766916345	0.0006828679191474872	0.004089274736280191	0.003406645259588556	0.003406406817132704
CD8A	gene	0.0028452730040745425	0.0027683442618167227	0.004068821130530469	0.0012235481264559261	0.001300476868713746
AKT1	gene	0.001928153031955873	0.0018736377155515523	0.004059757147872501	0.0021316041159166283	0.0021861194323209493
EPAS1	gene	0.0014730647368451418	0.001495617794218902	0.004052272634994941	0.0025792078981497994	0.0025566548407760393
BIRC5	gene	0.0021537183519775476	0.002122233720259706	0.004038426841011728	0.00188470848903418	0.0019161931207520217
HSPA8	gene	0.0006732940351817468	0.0006780522564149377	0.003994783497408248	0.0033214894622265014	0.0033167312409933107
ssgsea_Spermatogenesis	pathway	0.0013653929712297837	0.0017522371120711597	0.003976986631563499	0.002611593660333715	0.0022247495194923387
NOTCH1	gene	0.0014958988639179394	0.0015425866496174073	0.00397383787440023	0.0024779390104822906	0.002431251224782823
MDM4	gene	0.0013183640971283874	0.001346574494193535	0.003966265006740642	0.0026479009096122543	0.0026196905125471072
BAK1	gene	0.0017141343946953768	0.0017142062087791017	0.003942470492943053	0.0022283360982476757	0.002228264284163951
ssgsea_Complement	pathway	0.0018470469498768657	0.0032194547626384832	0.003922690001409706	0.0020756430515328403	0.0007032352387712228
RPL13A	gene	0.000948755767141471	0.0009155081750161081	0.003916613331640722	0.002967857564499251	0.003001105156624614
FZD1	gene	0.0011649049149231167	0.0011704404294738983	0.003908023060088976	0.0027431181451658595	0.002737582630615078
MCL1	gene	0.0018517132017026197	0.0019146215020316856	0.0038729846228460116	0.0020212714211433917	0.001958363120814326
ssgsea_Pperoxisome	pathway	0.0005729124303075948	0.0015814418144377985	0.0038702725056920934	0.0032973600753844986	0.0022888306912542946
SMAD4	gene	0.001060373833780486	0.0011145690720333736	0.0038600926729035158	0.00279971883912303	0.0027455236008701424
BRD4	gene	0.000592814250204262	0.0006050136024938211	0.0038509851269753074	0.0032581708767710454	0.0032459715244814863
HPRT1	gene	0.0014960166647032432	0.0015020922028015785	0.0038233977965210983	0.002327381131817855	0.00232130559371952
MDM2	gene	0.0012050730660339499	0.0012017863500491121	0.0038220550725017286	0.002616982006467779	0.002620268722452616
ssgsea_Estrogen Response Late	pathway	0.004179910266506155	0.003828737262224002	0.0038156432577700575	-0.0003642670087360975	-1.3094004453944545e-05
MYC	gene	0.0012980694429853613	0.0013140898149986075	0.003766703636183318	0.0024686341931979567	0.0024526138211847107
NEK2	gene	0.0004937554389714231	0.0004937554389714231	0.003765085654805746	0.003271330215834323	0.003271330215834323
MET	gene	0.00029059469224247225	0.0002933610292837914	0.0037517070619437626	0.00346111236970129	0.0034583460326599712
SRC	gene	0.0007470773791612589	0.0007661212886502959	0.0037503928335498268	0.003003315454388568	0.002984271544899531
RARA	gene	0.0020973721660347607	0.0020708185631283984	0.00375031767370336	0.0016529455076685993	0.0016794991105749616
TUBA1A	gene	0.0016934730091400447	0.001737894345613307	0.0037142398812834284	0.0020207668721433838	0.001976345535670121
USP7	gene	0.0013653642265315938	0.0013819765042800947	0.0036941486476985167	0.002328784421166923	0.002312172143418422
CD4	gene	0.001412710102894963	0.0014257571180911093	0.0036918379708915415	0.002279127867996579	0.002266080852800432
KDR	gene	0.0006622326368457171	0.0007108351083797046	0.0036715122965230765	0.0030092796596773593	0.002960677188143372
ssgsea_Myogenesis	pathway	0.0003450810291137663	0.0015346393236841604	0.0036700162225470627	0.0033249351934332965	0.002135376898862902
BUB1	gene	0.002617483570191829	0.0025635078779635482	0.003560218183413926	0.000942734613222097	0.0009967103054503777
PTEN	gene	0.0011590374779833568	0.00118217759705766	0.0035452739798107476	0.0023862365018273908	0.0023630963827530873
BAX	gene	0.0008293471403358221	0.0008370343386186669	0.00353760651588986	0.0027082593755540377	0.002700572177271193
CDK6	gene	0.0006523729798088581	0.000657154562257469	0.0035366201292059917	0.0028842471493971335	0.0028794655669485227
EP300	gene	0.000781925628419739	0.0008459074856893671	0.003526485134067027	0.0027445595056472876	0.0026805776483776597
ssgsea_G2-M Checkpoint	pathway	0.0015325699716678945	0.002245387710244711	0.003515573764411692	0.0019830037927437974	0.0012701860541669812
WNT1	gene	0.001685503617348971	0.0016841214032487434	0.00349157208207007	0.001806068464721099	0.0018074506788213266
SMAD2	gene	0.0012750328804969912	0.0013077225731106055	0.003479855440581538	0.002204822560084547	0.002172132867470932
PARP1	gene	0.0010610482711200793	0.0010665282491044154	0.0034387533936864607	0.0023777051225663814	0.0023722251445820455
CDK2	gene	0.0016757961613606239	0.0016675370590582778	0.003425640658152455	0.0017498444967918312	0.0017581035990941773
GZMB	gene	0.0045856508715496225	0.004513400768789712	0.0034174252888113056	-0.001168225582738317	-0.0010959754799784067
MAPK3	gene	0.0018351233212309287	0.001803172470611025	0.0034028212229084837	0.001567697901677555	0.0015996487522974587
SREBF1	gene	0.0017640078654417642	0.0017640078654417642	0.0033752796984092386	0.0016112718329674743	0.0016112718329674743
ssgsea_UV Response Up	pathway	0.0014140561171427962	0.001412880100811273	0.0033042988133061535	0.0018902426961633573	0.0018914187124948805
KLF4	gene	0.0018935034118860515	0.0018138043842674673	0.0032935139616177118	0.0014000105497316603	0.0014797095773502445
MKI67	gene	0.0034526577541951244	0.0034833420240716582	0.0032529153959871978	-0.00019974235820792658	-0.00023042662808446046
CXCR4	gene	0.0015451309637087066	0.0015152585635278058	0.003240110020728011	0.0016949790570193043	0.0017248514572002051
CENPE	gene	0.0026118315595590204	0.00256715070776631	0.0032366602777163804	0.00062482871815736	0.0006695095699500706
VDR	gene	0.0014215559833872945	0.001399314146429765	0.0032254201764616605	0.001803864193074366	0.0018261060300318955
FYN	gene	0.0019007900855229224	0.0019270365752742035	0.0032237425334645706	0.0013229524479416483	0.001296705958190367
SCD	gene	0.0021013331488245793	0.0021077968822119262	0.003210302929354604	0.0011089697805300247	0.0011025060471426778
FASN	gene	0.0011516347766718051	0.001129086819586131	0.003207824671111539	0.002056189894439734	0.002078737851525408
KDM1A	gene	0.0016638750811062777	0.0016925452437099543	0.0031767607505855263	0.0015128856694792486	0.001484215506875572
ESR1	gene	0.0018866193821867026	0.0031762325236925092	0.003175332509540023	0.0012887131273533203	-9.000141524863337e-07
SIRT1	gene	0.0009870707525502173	0.0009456403029566476	0.003170418541555587	0.00218334778900537	0.0022247782385989394
SMAD3	gene	0.002174406513874977	0.002260169060454841	0.003165231710235558	0.0009908251963605809	0.000905062649780717
ABCG2	gene	0.0015492059627584423	0.0015678950632743098	0.0031011151839867726	0.0015519092212283303	0.0015332201207124629
MAPK1	gene	0.0010127924518267062	0.0009774809315281764	0.003099612727725939	0.002086820275899233	0.0021221317961977624
PDCD1	gene	0.0010531075286306902	0.0021822756423050607	0.003097038769101635	0.002043931240470945	0.0009147631267965744
PSMA1	gene	0.0010218921175464293	0.0010574271990948336	0.0030946305559344483	0.0020727384383880188	0.0020372033568396147
CREBBP	gene	0.001140444867373039	0.001140444867373039	0.003071032217223189	0.00193058734985015	0.00193058734985015
TOP2A	gene	0.001874585268476217	0.0018202307701992737	0.003036304410477293	0.001161719142001076	0.0012160736402780192
FGFR1	gene	0.0013880106041542744	0.0013880106041542744	0.0030209959092740235	0.0016329853051197491	0.0016329853051197491
RXRA	gene	0.001435688115674275	0.0014878752978397505	0.0030175739778624685	0.0015818858621881936	0.001529698680022718
IL6	gene	0.0012671825198587972	0.0006109447135808357	0.0029959056300725186	0.0017287231102137213	0.002384960916491683
GSK3B	gene	0.0007466933786200557	0.0007782921715566991	0.002986708880925303	0.0022400155023052475	0.002208416709368604
YES1	gene	0.0008053228940519913	0.0008053228940519913	0.002918286588724535	0.0021129636946725433	0.0021129636946725433
ssgsea_Myc Targets V1	pathway	0.0010389516159284462	0.0011121033150014472	0.0028630323049854936	0.0018240806890570474	0.0017509289899840465
ssgsea_Cholesterol Homeostasis	pathway	0.0016586089582868602	0.0016586089582868602	0.002845949124334691	0.0011873401660478307	0.0011873401660478307
ssgsea_Glycolysis	pathway	0.00035752863866129965	0.000323988619186001	0.002838996319391897	0.002481467680730597	0.002515007700205896
AURKA	gene	0.0020176956210464663	0.0019315974785866082	0.0028190534887733688	0.0008013578677269024	0.0008874560101867605
CDK1	gene	0.002311642554690349	0.0021949736077131444	0.0027668042284464526	0.0004551616737561038	0.0005718306207333082
CDKN2A	gene	0.0032488975844950983	0.0025453126822714105	0.0027545206511134694	-0.0004943769333816289	0.00020920796884205898
MSH2	gene	0.0018473953361712139	0.0018473953361712139	0.002751445397474605	0.000904050061303391	0.000904050061303391
BRAF	gene	0.0010024845790385971	0.0009663712344386561	0.002710936282565837	0.00170845170352724	0.001744565048127181
HDAC1	gene	0.0009220382968911483	0.0009226078103868227	0.002700680955281482	0.0017786426583903336	0.0017780731448946592
CCNE1	gene	0.0018210870051659914	0.001825952834200967	0.002669271793611091	0.0008481847884450994	0.0008433189594101238
HMGCR	gene	0.0021590067191656053	0.0020838448951415018	0.002664246639132255	0.0005052399199666495	0.000580401743990753
CDC25A	gene	0.002317258886893242	0.0023046755429688794	0.0026277246618386825	0.0003104657749454405	0.00032304911886980306
HSPB1	gene	0.0038512262547598423	0.0038756685627600504	0.002609683221257073	-0.0012415430335027695	-0.0012659853415029777
HES1	gene	0.002258172317383919	0.002258522211752076	0.0026045120263745577	0.00034633970899063853	0.00034598981462248156
TTK	gene	0.0015384091023750988	0.0015519115286461312	0.0025965534769681374	0.0010581443745930387	0.0010446419483220062
ssgsea_Apical Junction	pathway	0.0005424964364504737	0.0004845642746243938	0.0025676777271782646	0.002025181290727791	0.002083113452553871
GZMA	gene	0.0019881676280055624	0.00194994813932114	0.002565680416673085	0.0005775127886675224	0.0006157322773519447
DNMT3A	gene	0.0006103867170789393	0.0006171062940365414	0.0025597907114009453	0.001949403994322006	0.001942684417364404
KIT	gene	0.0018549079807835599	0.0018733594193896272	0.0025384653751011808	0.0006835573943176209	0.0006651059557115536
ATM	gene	0.0007298238463232808	0.0007298238463232808	0.002523639013380619	0.0017938151670573383	0.0017938151670573383
KDM5A	gene	0.002183342905202539	0.001150439574990553	0.002481907630097912	0.0002985647248953732	0.001331468055107359
BCL2	gene	0.00228489431154482	0.0022854965010450355	0.002415845913653998	0.0001309516021091783	0.0001303494126089627
RRM2	gene	0.003792738056913208	0.003863801243755525	0.0023941654491073574	-0.0013985726078058506	-0.0014696357946481675
CDC20	gene	0.0026732962868666033	0.002670157932851205	0.0023865875336093307	-0.00028670875325727263	-0.0002835703992418743
ssgsea_TGF-beta Signaling	pathway	0.002800167240378558	0.0028573110004803223	0.00234260830504913	-0.0004575589353294279	-0.0005147026954311924
HDAC2	gene	0.0022184642126890012	0.0023425451502522942	0.0023370080698734952	0.00011854385718449399	-5.537080378799006e-06
CDK4	gene	0.0016496687300709663	0.001644062547325788	0.002319566446810731	0.0006698977167397648	0.0006755038994849432
FOXP3	gene	0.001522444299173123	0.0014800808229637247	0.0023016126741812557	0.0007791683750081326	0.000821531851217531
EZH2	gene	0.003737771614281305	0.0037277133830086323	0.00227675225374012	-0.001461019360541185	-0.0014509611292685123
RRM1	gene	0.001503478280115623	0.001503478280115623	0.002263282690042375	0.000759804409926752	0.000759804409926752
MYB	gene	0.0013132783439172573	0.001301419358289622	0.002214600068062646	0.0009013217241453887	0.000913180709773024
PRF1	gene	0.0025890543463178884	0.002636687150985929	0.0022097152760049165	-0.00037933907031297183	-0.0004269718749810125
RAD51	gene	0.002697737837435454	0.002603096501239567	0.002177580745618057	-0.0005201570918173968	-0.0004255157556215098
VEGFA	gene	0.0021125298430402155	0.0021125298430402155	0.0021401505086827556	2.762066564254012e-05	2.762066564254012e-05
CCNB1	gene	0.0017322638281053256	0.0017489190287362638	0.002139684133576067	0.0004074203054707415	0.00039076510483980324
ssgsea_DNA Repair	pathway	0.0013769400109803617	0.001219371121738641	0.002119009276574684	0.0007420692655943223	0.000899638154836043
RB1	gene	0.002656545722469743	0.0026512582685875178	0.0020179404554208466	-0.0006386052670488964	-0.0006333178131666711
FOXA1	gene	0.007358963667453673	0.007457157198430244	0.0019922304341406156	-0.005366733233313057	-0.005464926764289628
BRCA1	gene	0.0013448231563444612	0.0013813509510541544	0.0019852096124430116	0.0006403864560985504	0.0006038586613888572
ssgsea_Androgen Response	pathway	0.005851920746372556	0.0018833835638350559	0.0019771877420815837	-0.003874733004290972	9.380417824652785e-05
CASP3	gene	0.0017210002119944768	0.0018145441208740041	0.0019615631375803724	0.00024056292558589563	0.00014701901670636825
KIF11	gene	0.001939543878242178	0.0019517241878291088	0.0019068558501162702	-3.2688028125907754e-05	-4.486833771283859e-05
TYMS	gene	0.0023627807760878464	0.0022964225821042587	0.0018581924822456113	-0.0005045882938422351	-0.00043823009985864735
ssgsea_Allograft Rejection	pathway	0.0006063015975952096	0.0020136752280142645	0.0017788394187481717	0.001172537821152962	-0.0002348358092660928
DNMT1	gene	0.003454266995265589	0.0034194345007187714	0.0017305947414057315	-0.0017236722538598573	-0.0016888397593130399
ssgsea_mTORC1 Signaling	pathway	0.0008624185333237102	0.0010132907550090499	0.0017055987178420785	0.0008431801845183684	0.0006923079628330287
GATA3	gene	0.002819666997458888	0.00292593604438006	0.00164734876536647	-0.0011723182320924179	-0.00127858727901359
CHEK1	gene	0.0016524789922266617	0.0016680352798176205	0.0016424212021650276	-1.0057790061634118e-05	-2.561407765259288e-05
ssgsea_Epithelial Mesenchymal Transition	pathway	0.0011297850648286543	0.0006535647047108375	0.0016227203764358094	0.0004929353116071551	0.000969155671724972
UBE2C	gene	0.0026379028835955072	0.002590864148342489	0.0016166247688961131	-0.0010212781146993941	-0.0009742393794463758
IKBKB	gene	0.0025878987123088603	0.0024947365015626517	0.0014467215444647	-0.0011411771678441602	-0.0010480149570979516
ACACA	gene	0.0016498403929351678	0.001675180486153301	0.0013961895016893573	-0.00025365089124581046	-0.00027899098446394375
ssgsea_KRAS Signaling Up	pathway	0.0017016475086215766	0.00035747845387434354	0.0013849267443659218	-0.0003167207642556548	0.0010274482904915783
ssgsea_Apoptosis	pathway	0.0030419651976947917	0.0006671927568031332	0.001315386721223203	-0.0017265784764715886	0.0006481939644200699
ssgsea_Estrogen Response Early	pathway	0.005283290993551019	0.005046560769370272	0.0012985072435923134	-0.003984783749958705	-0.0037480535257779584
XRCC1	gene	0.001258286562192257	0.001258286562192257	0.0012569484209725122	-1.3381412197446992e-06	-1.3381412197446992e-06
