drug_name	aliases	target_pathway	drug_class	clinical_status	status_score	breast_cancer_relevance	her2_relevance	pi3k_mtor_relevance	endocrine_relevance	cdk46_relevance	parp_relevance	dna_damage_relevance	microtubule_relevance	tnbc_relevance	luminal_relevance	hsp90_relevance	tool_compound	standard_of_care_breast	trial_mappable	trial_query_term	notes
cisplatin		DNA damage	platinum chemotherapy	approved_oncology	0.65	2	0	0	0	0	0	2	0	2	0	0	0	0	1	cisplatin	
entinostat		HDAC	HDAC inhibitor	investigational_breast	0.45	2	0	0	0	0	0	0	0	0	1	0	0	0	1	entinostat	
methotrexate		DHFR	antimetabolite chemotherapy	approved_breast	1.0	2	0	0	0	0	0	1	0	0	0	0	0	1	1	methotrexate	
rucaparib		PARP	PARP inhibitor	approved_oncology	0.65	2	0	0	0	0	3	3	0	0	0	0	0	0	1	rucaparib	
tanespimycin	17-AAG	HSP90 client proteins, HER2 stabilization	HSP90 inhibitor	investigational_breast	0.45	2	2	0	0	0	0	0	0	0	0	3	0	0	1	tanespimycin	Historically explored in HER2-positive breast cancer; not standard of care.
veliparib		PARP	PARP inhibitor	investigational_breast	0.45	2	0	0	0	0	2	2	0	0	0	0	0	0	1	veliparib	
AZD-6482		PI3K beta	PI3K inhibitor	investigational_oncology	0.2	1	0	2	0	0	0	0	0	0	0	0	0	0	1	AZD-6482	
AZD-8055		mTOR	mTOR kinase inhibitor	investigational_oncology	0.2	1	0	2	0	0	0	0	0	0	0	0	0	0	1	AZD-8055	
OSI-027		mTOR	mTOR kinase inhibitor	investigational_oncology	0.2	1	0	2	0	0	0	0	0	0	0	0	0	0	1	OSI-027	
SN-38		TOP1	topoisomerase inhibitor metabolite	preclinical	-0.2	1	0	0	0	0	0	1	0	0	0	0	0	0	1	SN-38	
afatinib		ERBB family	pan-ERBB tyrosine kinase inhibitor	approved_oncology	0.65	1	2	0	0	0	0	0	0	0	0	0	0	0	1	afatinib	Approved outside breast cancer; possible HER-family relevance but weaker breast-cancer precedence than lapatinib.
cytarabine		DNA damage / cytotoxic stress	Cytotoxic chemotherapy	approved_oncology	0.65	1	0	0	0	0	0	1	0	0	0	0	0	0	1	cytarabine	
dacarbazine		DNA damage / cytotoxic stress	Cytotoxic chemotherapy	approved_oncology	0.65	1	0	0	0	0	0	1	0	0	0	0	0	0	1	dacarbazine	
dactinomycin		DNA damage / cytotoxic stress	Cytotoxic chemotherapy	preclinical	-0.2	1	0	0	0	0	0	1	0	0	0	0	0	0	1	dactinomycin	
dasatinib		SRC/ABL	SRC/ABL kinase inhibitor	approved_oncology	0.65	1	0	0	0	0	0	0	0	0	0	0	0	0	1	dasatinib	
erlotinib		EGFR	EGFR tyrosine kinase inhibitor	approved_oncology	0.65	1	1	0	0	0	0	0	0	0	0	0	0	0	1	erlotinib	
gefitinib		EGFR	EGFR tyrosine kinase inhibitor	approved_oncology	0.65	1	1	0	0	0	0	0	0	0	0	0	0	0	1	gefitinib	
irinotecan		TOP1	topoisomerase inhibitor	approved_oncology	0.65	1	0	0	0	0	0	1	0	0	0	0	0	0	1	irinotecan	
mitoxantrone		DNA damage / cytotoxic stress	Cytotoxic chemotherapy	approved_oncology	0.65	1	0	0	0	0	0	1	0	0	0	0	0	0	1	mitoxantrone	
navitoclax		BCL2 family	BCL2 family inhibitor	investigational_breast	0.45	1	0	0	0	0	0	0	0	0	0	0	0	0	1	navitoclax	
selumetinib		MEK	MEK inhibitor	investigational_breast	0.45	1	0	0	0	0	0	0	0	0	0	0	0	0	1	selumetinib	
sirolimus	rapamycin	mTOR	mTOR inhibitor	approved_nononcology	-0.35	1	0	2	0	0	0	0	0	0	0	0	0	0	0	sirolimus	Mechanistically plausible via mTOR but not a standard breast-cancer recommendation.
temozolomide		DNA damage / cytotoxic stress	Cytotoxic chemotherapy	approved_oncology	0.65	1	0	0	0	0	0	1	0	0	0	0	0	0	1	temozolomide	
temsirolimus		mTOR	mTOR inhibitor	approved_oncology	0.65	1	0	2	0	0	0	0	0	0	0	0	0	0	1	temsirolimus	Mechanistically plausible via mTOR; clinically weaker breast-cancer rationale than HER2-directed therapy in HER2-positive disease.
teniposide		DNA damage / cytotoxic stress	Cytotoxic chemotherapy	preclinical	-0.2	1	0	0	0	0	0	1	0	0	0	0	0	0	1	teniposide	
topotecan		TOP1	topoisomerase inhibitor	approved_oncology	0.65	1	0	0	0	0	0	1	0	0	0	0	0	0	1	topotecan	
trametinib		MEK	MEK inhibitor	approved_oncology	0.65	1	0	0	0	0	0	0	0	0	0	0	0	0	1	trametinib	
vinblastine		microtubule	vinca alkaloid chemotherapy	approved_oncology	0.65	1	0	0	0	0	0	0	2	0	0	0	0	0	1	vinblastine	
vorinostat		HDAC	HDAC inhibitor	approved_oncology	0.65	1	0	0	0	0	0	0	0	0	0	0	0	0	1	vorinostat	
ABT-737		Unknown	Unclassified	investigational_oncology	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	ABT-737	
BI-2536		Unknown	Unclassified	preclinical	-0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	BI-2536	
BMS-754807		Unknown	Unclassified	investigational_oncology	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	BMS-754807	
GSK-1904529A		Unknown	Unclassified	preclinical	-0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	GSK-1904529A	
MK-1775		Unknown	Unclassified	preclinical	-0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	MK-1775	
NU-7441		Unknown	Unclassified	preclinical	-0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	NU-7441	
PD-0325901		Unknown	Unclassified	preclinical	-0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PD-0325901	
PD-173074		Unknown	Unclassified	preclinical	-0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PD-173074	
PLX-4720		Unknown	Unclassified	preclinical	-0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PLX-4720	
acetylcysteine		Unknown	Unclassified	approved_nononcology	-0.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	acetylcysteine	
alisertib		Unknown	Unclassified	investigational_oncology	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	alisertib	
ascorbic-acid		Unknown	Unclassified	approved_nononcology	-0.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ascorbic-acid	
axitinib		Unknown	Unclassified	approved_oncology	0.65	0	0	0	0	0	0	0	0	0	0	0	0	0	1	axitinib	
azacitidine		Unknown	Unclassified	approved_oncology	0.65	0	0	0	0	0	0	0	0	0	0	0	0	0	1	azacitidine	
bortezomib		Unknown	Unclassified	approved_oncology	0.65	0	0	0	0	0	0	0	0	0	0	0	0	0	1	bortezomib	
bosutinib		Unknown	Unclassified	approved_oncology	0.65	0	0	0	0	0	0	0	0	0	0	0	0	0	1	bosutinib	
camptothecin		TOP1	topoisomerase inhibitor	preclinical	-0.2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	camptothecin	Natural-product scaffold rather than practical breast-cancer recommendation.
cediranib		Unknown	Unclassified	investigational_oncology	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	cediranib	
crizotinib		Unknown	Unclassified	approved_oncology	0.65	0	0	0	0	0	0	0	0	0	0	0	0	0	1	crizotinib	
doramapimod		Unknown	Unclassified	preclinical	-0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	doramapimod	
fludarabine		Unknown	Unclassified	approved_oncology	0.65	0	0	0	0	0	0	0	0	0	0	0	0	0	1	fludarabine	
foretinib		Unknown	Unclassified	investigational_oncology	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	foretinib	
ibrutinib		Unknown	Unclassified	approved_oncology	0.65	0	0	0	0	0	0	0	0	0	0	0	0	0	1	ibrutinib	
leflunomide		Unknown	Unclassified	approved_nononcology	-0.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	leflunomide	
lenalidomide		Unknown	Unclassified	approved_oncology	0.65	0	0	0	0	0	0	0	0	0	0	0	0	0	1	lenalidomide	
lestaurtinib		FLT3/JAK family	multi-kinase inhibitor	investigational_oncology	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	lestaurtinib	Weak breast-cancer rationale; should not outrank biomarker-matched breast agents.
linsitinib		Unknown	Unclassified	investigational_oncology	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	linsitinib	
motesanib		Unknown	Unclassified	investigational_oncology	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	motesanib	
mycophenolic-acid		Unknown	Unclassified	approved_nononcology	-0.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	mycophenolic-acid	
nilotinib		Unknown	Unclassified	approved_oncology	0.65	0	0	0	0	0	0	0	0	0	0	0	0	0	1	nilotinib	
nutlin-3		Unknown	Unclassified	preclinical	-0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	nutlin-3	
obatoclax		Unknown	Unclassified	investigational_oncology	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	obatoclax	
pevonedistat		Unknown	Unclassified	investigational_oncology	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	pevonedistat	
prima-1-met		Unknown	Unclassified	investigational_oncology	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	prima-1-met	
ruxolitinib		Unknown	Unclassified	approved_oncology	0.65	0	0	0	0	0	0	0	0	0	0	0	0	0	1	ruxolitinib	
serdemetan		Unknown	Unclassified	preclinical	-0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	serdemetan	
sorafenib		Unknown	Unclassified	approved_oncology	0.65	0	0	0	0	0	0	0	0	0	0	0	0	0	1	sorafenib	
tozasertib		Unknown	Unclassified	investigational_oncology	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	tozasertib	
AGK-2		Unknown	Unclassified	tool	-1.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	AGK-2	
AZD-5438		Unknown	Unclassified	tool	-1.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	AZD-5438	
AZD-7762		Unknown	Unclassified	tool	-1.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	AZD-7762	
BIBR-1532		Unknown	Unclassified	tool	-1.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	BIBR-1532	
BMS-345541		Unknown	Unclassified	tool	-1.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	BMS-345541	
BMS-536924		Unknown	Unclassified	tool	-1.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	BMS-536924	
GW-441756		Unknown	Unclassified	tool	-1.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	GW-441756	
KU-55933		Unknown	Unclassified	tool	-1.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	KU-55933	
MG-132		proteasome	proteasome inhibitor tool compound	tool	-1.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	MG-132	Laboratory proteasome inhibitor tool compound; exclude from recommendation outputs.
PCI-34051		Unknown	Unclassified	tool	-1.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	PCI-34051	
Ro-3306		Unknown	Unclassified	tool	-1.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	Ro-3306	
SB-216763		Unknown	Unclassified	tool	-1.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	SB-216763	
SB-590885		Unknown	Unclassified	tool	-1.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	SB-590885	
XAV-939		Unknown	Unclassified	tool	-1.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	XAV-939	
ZM-447439		Unknown	Unclassified	tool	-1.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	ZM-447439	
mirin		Unknown	Unclassified	tool	-1.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	mirin	
podophyllotoxin		Unknown	Unclassified	tool	-1.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	podophyllotoxin	
staurosporine		broad kinase inhibition	pan-kinase tool compound	tool	-1.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	staurosporine	Research tool compound; exclude from recommendation outputs.
