config	held_out_dataset	treatment_class	source	has_mutation_data	n_test	n_test_resp	n_train	auc	balanced_accuracy	sensitivity	specificity	n_features
A_expr_only	ispy2_Paclitaxel_plus_Neratinib	her2_targeted	ispy2	True	114	42	3874	0.506	0.5119	0.1905	0.8333	192
A_expr_only	ispy2_Paclitaxel_plus_ABT_888_plus_Carboplatin	dna_damage	ispy2	True	71	27	3917	0.383	0.4234	0.0741	0.7727	192
A_expr_only	ispy2_Paclitaxel_plus_Pembrolizumab	immunotherapy	ispy2	True	69	31	3919	0.4338	0.4359	0.1613	0.7105	192
A_expr_only	ispy2_T-DM1_plus_Pertuzumab	her2_targeted	ispy2	True	52	30	3936	0.5318	0.5318	0.2	0.8636	192
A_expr_only	ispy2_Paclitaxel_plus_Ganitumab	other_targeted	ispy2	True	107	24	3881	0.4814	0.5166	0.25	0.7831	192
A_expr_only	ispy2_Paclitaxel_plus_Ganetespib	other_targeted	ispy2	True	93	26	3895	0.4334	0.4265	0.0769	0.7761	192
A_expr_only	ispy2_Paclitaxel_plus_MK-2206	targeted	ispy2	True	60	18	3928	0.5714	0.5198	0.1111	0.9286	192
A_expr_only	ispy2_Paclitaxel_plus_MK-2206_plus_Trastuzumab	targeted	ispy2	True	34	17	3954	0.6332	0.5588	0.1765	0.9412	192
A_expr_only	ispy2_Paclitaxel_plus_Trastuzumab	her2_targeted	ispy2	True	31	8	3957	0.3804	0.413	0.0	0.8261	192
A_expr_only	ispy2_Paclitaxel_plus_Pertuzumab_plus_Trastuzumab	her2_targeted	ispy2	True	44	26	3944	0.5321	0.5021	0.1154	0.8889	192
A_expr_only	ispy2_Paclitaxel_plus_AMG_386	other_targeted	ispy2	True	114	33	3874	0.5582	0.5079	0.1515	0.8642	192
A_expr_only	ispy2_Paclitaxel_plus_AMG_386_plus_Trastuzumab	other_targeted	ispy2	True	19	6	3969	0.3205	0.3846	0.0	0.7692	192
A_expr_only	brightness_GSE164458	dna_damage	brightness	True	482	236	3506	0.5939	0.5475	0.339	0.7561	192
B_expr_mut	ctrdb_GSE20181	endocrine	ctrdb	False	154	110	3834	0.3818	0.4659	0.1364	0.7955	202
B_expr_mut	ctrdb_GSE20194	chemo	ctrdb	True	278	56	3710	0.8909	0.7009	0.4107	0.991	202
B_expr_mut	ctrdb_GSE20271	chemo	ctrdb	True	178	26	3810	0.7151	0.6215	0.7692	0.4737	202
B_expr_mut	ctrdb_GSE21974	chemo	ctrdb	True	57	18	3931	0.6581	0.6325	0.4444	0.8205	202
B_expr_mut	ctrdb_GSE22093	chemo	ctrdb	True	97	28	3891	0.7272	0.6284	0.2857	0.971	202
B_expr_mut	ctrdb_GSE23988	chemo	ctrdb	True	61	20	3927	0.9744	0.6878	0.4	0.9756	202
B_expr_mut	ctrdb_GSE25066	chemo	ctrdb	True	488	99	3500	0.8658	0.7	0.4848	0.9152	202
B_expr_mut	ctrdb_GSE32646	chemo	ctrdb	True	115	27	3873	0.7088	0.5629	0.2963	0.8295	202
B_expr_mut	ctrdb_GSE37946	her2_targeted	ctrdb	True	50	27	3938	0.7601	0.6111	0.2222	1.0	202
B_expr_mut	ctrdb_GSE41998	chemo	ctrdb	True	206	201	3782	0.6866	0.6095	0.2189	1.0	202
B_expr_mut	ctrdb_GSE44272	her2_targeted	ctrdb	True	53	35	3935	0.4333	0.4619	0.2571	0.6667	202
B_expr_mut	ctrdb_GSE4779	chemo	ctrdb	False	102	39	3886	0.9813	0.8993	0.8462	0.9524	202
B_expr_mut	ctrdb_GSE48905	endocrine	ctrdb	True	39	15	3949	0.4778	0.5083	0.2667	0.75	202
B_expr_mut	ctrdb_GSE50948	chemo	ctrdb	True	156	53	3832	0.5508	0.4918	0.2264	0.7573	202
B_expr_mut	ctrdb_GSE66999	chemo	ctrdb	True	76	70	3912	0.3714	0.5238	0.2143	0.8333	202
B_expr_mut	ctrdb_GSE6861	chemo	ctrdb	False	161	66	3827	0.8759	0.7695	0.697	0.8421	202
B_expr_mut	ctrdb_GSE76360	her2_targeted	ctrdb	True	96	66	3892	0.4707	0.5273	0.2879	0.7667	202
B_expr_mut	ctrdb_GSE82172	endocrine	ctrdb	False	152	21	3836	0.4431	0.4855	0.2381	0.7328	202
B_expr_mut	ispy2_Paclitaxel	chemo	ispy2	True	179	31	3809	0.5865	0.5641	0.2903	0.8378	202
B_expr_mut	ispy2_Paclitaxel_plus_Neratinib	her2_targeted	ispy2	True	114	42	3874	0.5089	0.4792	0.1667	0.7917	202
B_expr_mut	ispy2_Paclitaxel_plus_ABT_888_plus_Carboplatin	dna_damage	ispy2	True	71	27	3917	0.367	0.4987	0.1111	0.8864	202
B_expr_mut	ispy2_Paclitaxel_plus_Pembrolizumab	immunotherapy	ispy2	True	69	31	3919	0.4312	0.4228	0.1613	0.6842	202
B_expr_mut	ispy2_T-DM1_plus_Pertuzumab	her2_targeted	ispy2	True	52	30	3936	0.5152	0.4985	0.1333	0.8636	202
B_expr_mut	ispy2_Paclitaxel_plus_Ganitumab	other_targeted	ispy2	True	107	24	3881	0.5015	0.5341	0.3333	0.7349	202
B_expr_mut	ispy2_Paclitaxel_plus_Ganetespib	other_targeted	ispy2	True	93	26	3895	0.4989	0.4564	0.0769	0.8358	202
B_expr_mut	ispy2_Paclitaxel_plus_MK-2206	targeted	ispy2	True	60	18	3928	0.582	0.5079	0.1111	0.9048	202
B_expr_mut	ispy2_Paclitaxel_plus_MK-2206_plus_Trastuzumab	targeted	ispy2	True	34	17	3954	0.6955	0.5882	0.2353	0.9412	202
B_expr_mut	ispy2_Paclitaxel_plus_Trastuzumab	her2_targeted	ispy2	True	31	8	3957	0.3478	0.4348	0.0	0.8696	202
B_expr_mut	ispy2_Paclitaxel_plus_Pertuzumab_plus_Trastuzumab	her2_targeted	ispy2	True	44	26	3944	0.5641	0.5021	0.1154	0.8889	202
B_expr_mut	ispy2_Paclitaxel_plus_AMG_386	other_targeted	ispy2	True	114	33	3874	0.5511	0.5107	0.1818	0.8395	202
B_expr_mut	ispy2_Paclitaxel_plus_AMG_386_plus_Trastuzumab	other_targeted	ispy2	True	19	6	3969	0.2949	0.3846	0.0	0.7692	202
B_expr_mut	brightness_GSE164458	dna_damage	brightness	True	482	236	3506	0.5781	0.5419	0.3602	0.7236	202
C_expr_mut_cnv	ctrdb_GSE20181	endocrine	ctrdb	False	154	110	3834	0.3874	0.3955	0.1091	0.6818	203
C_expr_mut_cnv	ctrdb_GSE20194	chemo	ctrdb	True	278	56	3710	0.8457	0.705	0.4821	0.9279	203
C_expr_mut_cnv	ctrdb_GSE20271	chemo	ctrdb	True	178	26	3810	0.6427	0.5491	0.7692	0.3289	203
C_expr_mut_cnv	ctrdb_GSE21974	chemo	ctrdb	True	57	18	3931	0.6866	0.6581	0.4444	0.8718	203
C_expr_mut_cnv	ctrdb_GSE22093	chemo	ctrdb	True	97	28	3891	0.6998	0.653	0.3929	0.913	203
C_expr_mut_cnv	ctrdb_GSE23988	chemo	ctrdb	True	61	20	3927	0.9439	0.7378	0.5	0.9756	203
C_expr_mut_cnv	ctrdb_GSE25066	chemo	ctrdb	True	488	99	3500	0.855	0.6863	0.4343	0.9383	203
C_expr_mut_cnv	ctrdb_GSE32646	chemo	ctrdb	True	115	27	3873	0.6545	0.5814	0.3333	0.8295	203
C_expr_mut_cnv	ctrdb_GSE37946	her2_targeted	ctrdb	True	50	27	3938	0.8422	0.6667	0.3333	1.0	203
C_expr_mut_cnv	ctrdb_GSE41998	chemo	ctrdb	True	206	201	3782	0.6348	0.6269	0.2537	1.0	203
C_expr_mut_cnv	ctrdb_GSE44272	her2_targeted	ctrdb	True	53	35	3935	0.419	0.4341	0.2571	0.6111	203
C_expr_mut_cnv	ctrdb_GSE4779	chemo	ctrdb	False	102	39	3886	0.9837	0.9109	0.9487	0.873	203
C_expr_mut_cnv	ctrdb_GSE48905	endocrine	ctrdb	True	39	15	3949	0.4778	0.5	0.3333	0.6667	203
C_expr_mut_cnv	ctrdb_GSE50948	chemo	ctrdb	True	156	53	3832	0.5312	0.4856	0.3208	0.6505	203
C_expr_mut_cnv	ctrdb_GSE66999	chemo	ctrdb	True	76	70	3912	0.4643	0.5238	0.2143	0.8333	203
C_expr_mut_cnv	ctrdb_GSE6861	chemo	ctrdb	False	161	66	3827	0.8541	0.7939	0.7879	0.8	203
C_expr_mut_cnv	ctrdb_GSE76360	her2_targeted	ctrdb	True	96	66	3892	0.5606	0.5606	0.2879	0.8333	203
C_expr_mut_cnv	ctrdb_GSE82172	endocrine	ctrdb	False	152	21	3836	0.4587	0.4644	0.3333	0.5954	203
C_expr_mut_cnv	ispy2_Paclitaxel	chemo	ispy2	True	179	31	3809	0.5918	0.536	0.1935	0.8784	203
C_expr_mut_cnv	ispy2_Paclitaxel_plus_Neratinib	her2_targeted	ispy2	True	114	42	3874	0.5628	0.5139	0.1667	0.8611	203
C_expr_mut_cnv	ispy2_Paclitaxel_plus_ABT_888_plus_Carboplatin	dna_damage	ispy2	True	71	27	3917	0.4116	0.5143	0.0741	0.9545	203
C_expr_mut_cnv	ispy2_Paclitaxel_plus_Pembrolizumab	immunotherapy	ispy2	True	69	31	3919	0.3913	0.4694	0.0968	0.8421	203
C_expr_mut_cnv	ispy2_T-DM1_plus_Pertuzumab	her2_targeted	ispy2	True	52	30	3936	0.5621	0.5303	0.3333	0.7273	203
C_expr_mut_cnv	ispy2_Paclitaxel_plus_Ganitumab	other_targeted	ispy2	True	107	24	3881	0.493	0.4874	0.0833	0.8916	203
C_expr_mut_cnv	ispy2_Paclitaxel_plus_Ganetespib	other_targeted	ispy2	True	93	26	3895	0.4437	0.4819	0.0385	0.9254	203
C_expr_mut_cnv	ispy2_Paclitaxel_plus_MK-2206	targeted	ispy2	True	60	18	3928	0.5542	0.5317	0.1111	0.9524	203
C_expr_mut_cnv	ispy2_Paclitaxel_plus_MK-2206_plus_Trastuzumab	targeted	ispy2	True	34	17	3954	0.6436	0.5588	0.3529	0.7647	203
C_expr_mut_cnv	ispy2_Paclitaxel_plus_Trastuzumab	her2_targeted	ispy2	True	31	8	3957	0.2989	0.3886	0.125	0.6522	203
C_expr_mut_cnv	ispy2_Paclitaxel_plus_Pertuzumab_plus_Trastuzumab	her2_targeted	ispy2	True	44	26	3944	0.6132	0.515	0.3077	0.7222	203
C_expr_mut_cnv	ispy2_Paclitaxel_plus_AMG_386	other_targeted	ispy2	True	114	33	3874	0.6139	0.4933	0.0606	0.9259	203
C_expr_mut_cnv	ispy2_Paclitaxel_plus_AMG_386_plus_Trastuzumab	other_targeted	ispy2	True	19	6	3969	0.3462	0.4359	0.3333	0.5385	203
C_expr_mut_cnv	brightness_GSE164458	dna_damage	brightness	True	482	236	3506	0.5875	0.5286	0.1059	0.9512	203
D_expr_mut_cnv_clin	ctrdb_GSE20181	endocrine	ctrdb	False	154	110	3834	0.4161	0.4977	0.0636	0.9318	206
D_expr_mut_cnv_clin	ctrdb_GSE20194	chemo	ctrdb	True	278	56	3710	0.8389	0.7712	0.7857	0.7568	206
D_expr_mut_cnv_clin	ctrdb_GSE20271	chemo	ctrdb	True	178	26	3810	0.6913	0.6106	0.8462	0.375	206
D_expr_mut_cnv_clin	ctrdb_GSE21974	chemo	ctrdb	True	57	18	3931	0.8533	0.7436	0.6667	0.8205	206
D_expr_mut_cnv_clin	ctrdb_GSE22093	chemo	ctrdb	True	97	28	3891	0.558	0.5414	0.2857	0.7971	206
D_expr_mut_cnv_clin	ctrdb_GSE23988	chemo	ctrdb	True	61	20	3927	0.8841	0.725	0.45	1.0	206
D_expr_mut_cnv_clin	ctrdb_GSE25066	chemo	ctrdb	True	488	99	3500	0.8361	0.7239	0.5455	0.9023	206
D_expr_mut_cnv_clin	ctrdb_GSE32646	chemo	ctrdb	True	115	27	3873	0.4962	0.492	0.3704	0.6136	206
D_expr_mut_cnv_clin	ctrdb_GSE37946	her2_targeted	ctrdb	True	50	27	3938	0.7295	0.6626	0.6296	0.6957	206
D_expr_mut_cnv_clin	ctrdb_GSE41998	chemo	ctrdb	True	206	201	3782	0.4338	0.5493	0.2985	0.8	206
D_expr_mut_cnv_clin	ctrdb_GSE44272	her2_targeted	ctrdb	True	53	35	3935	0.3746	0.4802	0.5714	0.3889	206
D_expr_mut_cnv_clin	ctrdb_GSE4779	chemo	ctrdb	False	102	39	3886	0.9959	0.9536	0.9231	0.9841	206
D_expr_mut_cnv_clin	ctrdb_GSE48905	endocrine	ctrdb	True	39	15	3949	0.4778	0.5083	0.2667	0.75	206
D_expr_mut_cnv_clin	ctrdb_GSE50948	chemo	ctrdb	True	156	53	3832	0.593	0.581	0.7736	0.3883	206
D_expr_mut_cnv_clin	ctrdb_GSE66999	chemo	ctrdb	True	76	70	3912	0.4976	0.5857	0.1714	1.0	206
D_expr_mut_cnv_clin	ctrdb_GSE6861	chemo	ctrdb	False	161	66	3827	0.8839	0.79	0.7273	0.8526	206
D_expr_mut_cnv_clin	ctrdb_GSE76360	her2_targeted	ctrdb	True	96	66	3892	0.4672	0.4864	0.6061	0.3667	206
D_expr_mut_cnv_clin	ctrdb_GSE82172	endocrine	ctrdb	False	152	21	3836	0.4766	0.4424	0.381	0.5038	206
D_expr_mut_cnv_clin	ispy2_Paclitaxel	chemo	ispy2	True	179	31	3809	0.6149	0.5716	0.2581	0.8851	206
D_expr_mut_cnv_clin	ispy2_Paclitaxel_plus_Neratinib	her2_targeted	ispy2	True	114	42	3874	0.582	0.5526	0.2857	0.8194	206
D_expr_mut_cnv_clin	ispy2_Paclitaxel_plus_ABT_888_plus_Carboplatin	dna_damage	ispy2	True	71	27	3917	0.5497	0.5101	0.1111	0.9091	206
D_expr_mut_cnv_clin	ispy2_Paclitaxel_plus_Pembrolizumab	immunotherapy	ispy2	True	69	31	3919	0.573	0.5059	0.0645	0.9474	206
D_expr_mut_cnv_clin	ispy2_T-DM1_plus_Pertuzumab	her2_targeted	ispy2	True	52	30	3936	0.5742	0.503	0.2333	0.7727	206
D_expr_mut_cnv_clin	ispy2_Paclitaxel_plus_Ganitumab	other_targeted	ispy2	True	107	24	3881	0.5989	0.5472	0.1667	0.9277	206
D_expr_mut_cnv_clin	ispy2_Paclitaxel_plus_Ganetespib	other_targeted	ispy2	True	93	26	3895	0.6073	0.4745	0.0385	0.9104	206
D_expr_mut_cnv_clin	ispy2_Paclitaxel_plus_MK-2206	targeted	ispy2	True	60	18	3928	0.6905	0.5317	0.1111	0.9524	206
D_expr_mut_cnv_clin	ispy2_Paclitaxel_plus_MK-2206_plus_Trastuzumab	targeted	ispy2	True	34	17	3954	0.7612	0.7059	0.4706	0.9412	206
D_expr_mut_cnv_clin	ispy2_Paclitaxel_plus_Trastuzumab	her2_targeted	ispy2	True	31	8	3957	0.587	0.4728	0.25	0.6957	206
D_expr_mut_cnv_clin	ispy2_Paclitaxel_plus_Pertuzumab_plus_Trastuzumab	her2_targeted	ispy2	True	44	26	3944	0.5235	0.4573	0.1923	0.7222	206
D_expr_mut_cnv_clin	ispy2_Paclitaxel_plus_AMG_386	other_targeted	ispy2	True	114	33	3874	0.6813	0.518	0.0606	0.9753	206
D_expr_mut_cnv_clin	ispy2_Paclitaxel_plus_AMG_386_plus_Trastuzumab	other_targeted	ispy2	True	19	6	3969	0.5	0.4295	0.1667	0.6923	206
D_expr_mut_cnv_clin	brightness_GSE164458	dna_damage	brightness	True	482	236	3506	0.6181	0.5352	0.2331	0.8374	206
