drug,geo_id,source,n_patients,n_responders,n_nonresponders,auc,wilcoxon_p,mean_score_responders,mean_score_nonresponders,mean_diff
azacitidine,GSE41998,LINCS,206,201,5,0.5264,0.848171,0.0049,-0.0196,0.0244
azacyclonol,GSE41998,LINCS,206,201,5,0.5015,0.994127,-0.0071,-0.0101,0.003
bacampicilline,GSE41998,LINCS,206,201,5,0.4547,0.740152,0.0003,0.0254,-0.0252
baccatin-iii,GSE41998,LINCS,206,201,5,0.2766,0.089355,-0.0049,0.1547,-0.1596
bacitracin,GSE41998,LINCS,206,201,5,0.5642,0.636715,0.0064,-0.0396,0.046
baclofen,GSE41998,LINCS,206,201,5,0.4199,0.554394,-0.0004,0.0208,-0.0212
benactyzine,GSE41998,LINCS,206,201,5,0.2527,0.058052,-0.0042,0.1525,-0.1567
benzohydroxamic-acid,GSE41998,LINCS,206,201,5,0.5264,0.848171,-0.0029,-0.0237,0.0209
betamethasone-acetate,GSE41998,LINCS,206,201,5,0.4876,0.929613,0.0017,0.0022,-0.0004
betulinic-acid,GSE41998,LINCS,206,201,5,0.5502,0.712415,0.0086,-0.0216,0.0302
bisacodyl,GSE41998,LINCS,206,201,5,0.2468,0.051748,-0.0124,0.229,-0.2414
bongkrek-acid,GSE41998,LINCS,206,201,5,0.4836,0.906238,0.0083,0.0047,0.0037
bromfenac,GSE41998,LINCS,206,201,5,0.5045,0.976513,0.0028,0.0038,-0.001
bufexamac,GSE41998,LINCS,206,201,5,0.3741,0.349256,-0.001,0.1183,-0.1193
bulleyaconitine-a,GSE41998,LINCS,206,201,5,0.204,0.020663,0.0006,0.1139,-0.1133
bupivacaine,GSE41998,LINCS,206,201,5,0.3423,0.238129,-0.0103,0.0516,-0.0618
butacaine,GSE41998,LINCS,206,201,5,0.5871,0.519994,0.0086,-0.0235,0.0322
byssochlamic-acid,GSE41998,LINCS,206,201,5,0.5184,0.894578,-0.006,-0.0195,0.0135
caffeic-acid,GSE41998,LINCS,206,201,5,0.202,0.019711,-0.0025,0.198,-0.2005
canrenoic-acid,GSE41998,LINCS,206,201,5,0.3851,0.39361,0.0089,0.049,-0.0401
carbachol,GSE41998,LINCS,206,201,5,0.8498,0.004786,0.0013,-0.1443,0.1457
carbacyclin,GSE41998,LINCS,206,201,5,0.5622,0.647336,-0.0004,-0.0205,0.0201
cefaclor,GSE41998,LINCS,206,201,5,0.7891,0.024291,0.0015,-0.1583,0.1598
cephalosporanic-acid,GSE41998,LINCS,206,201,5,0.4249,0.579589,-0.0015,0.0347,-0.0362
chenodeoxycholic-acid,GSE41998,LINCS,206,201,5,0.6438,0.283451,0.0093,-0.062,0.0713
chlormadinone-acetate,GSE41998,LINCS,206,201,5,0.3085,0.148818,-0.0001,0.1033,-0.1035
chlortetracycline,GSE41998,LINCS,206,201,5,0.4935,0.964775,-0.0015,0.0071,-0.0085
cholic-acid,GSE41998,LINCS,206,201,5,0.6149,0.39361,0.0067,-0.069,0.0757
ciclacillin,GSE41998,LINCS,206,201,5,0.6428,0.286884,-0.0013,-0.0421,0.0408
cinacalcet,GSE41998,LINCS,206,201,5,0.4806,0.888756,-0.0048,0.0039,-0.0087
ciprofloxacin,GSE41998,LINCS,206,201,5,0.4378,0.647336,0.0025,0.0141,-0.0116
clavulanic-acid,GSE41998,LINCS,206,201,5,0.5413,0.762572,0.0044,-0.0219,0.0263
clinafloxacin,GSE41998,LINCS,206,201,5,0.6816,0.172129,0.0021,-0.0559,0.058
clodronic-acid,GSE41998,LINCS,206,201,5,0.6169,0.385316,0.0132,-0.0462,0.0594
clofibric-acid,GSE41998,LINCS,206,201,5,0.4259,0.584688,0.0071,0.0267,-0.0196
cloxacillin,GSE41998,LINCS,206,201,5,0.5692,0.610471,-0.0073,-0.0225,0.0152
cortisone-acetate,GSE41998,LINCS,206,201,5,0.5542,0.690477,-0.0041,-0.0208,0.0167
coumaric-acid,GSE41998,LINCS,206,201,5,0.1602,0.006493,0.0016,0.1575,-0.1558
cromoglicic-acid,GSE41998,LINCS,206,201,5,0.6756,0.187275,0.0076,-0.0709,0.0785
cucurbitacin-i,GSE41998,LINCS,206,201,5,0.3393,0.229079,-0.007,0.1411,-0.1481
cyclopiazonic-acid,GSE41998,LINCS,206,201,5,0.3443,0.244291,0.0061,0.1015,-0.0955
dacarbazine,GSE41998,LINCS,206,201,5,0.6995,0.131855,0.0033,-0.0692,0.0725
dacinostat,GSE41998,LINCS,206,201,5,0.3532,0.273308,-0.0047,0.0724,-0.0771
dactinomycin,GSE41998,LINCS,206,201,5,0.4577,0.756949,-0.0038,0.0356,-0.0394
darifenacin,GSE41998,LINCS,206,201,5,0.3731,0.345379,0.0053,0.067,-0.0617
deflazacort,GSE41998,LINCS,206,201,5,0.6159,0.38945,-0.002,-0.0371,0.0351
dehydrocholic-acid,GSE41998,LINCS,206,201,5,0.5652,0.63143,-0.0017,-0.0397,0.038
deoxycholic-acid,GSE41998,LINCS,206,201,5,0.3184,0.172129,0.0004,0.065,-0.0646
deoxycorticosterone-acetate,GSE41998,LINCS,206,201,5,0.594,0.486666,0.012,-0.0246,0.0365
deracoxib,GSE41998,LINCS,206,201,5,0.7303,0.079152,0.0044,-0.0746,0.079
dexamethasone-acetate,GSE41998,LINCS,206,201,5,0.5413,0.762572,0.003,-0.0031,0.0061
diacerein,GSE41998,LINCS,206,201,5,0.2577,0.063744,0.0072,0.1039,-0.0967
dichloroacetic-acid,GSE41998,LINCS,206,201,5,0.6826,0.16969,-0.0042,-0.0651,0.061
diclofenac,GSE41998,LINCS,206,201,5,0.8687,0.002531,0.0024,-0.1849,0.1873
dicloxacillin,GSE41998,LINCS,206,201,5,0.4975,0.988255,-0.0006,-0.0103,0.0097
dihomo-gamma-linolenic-acid,GSE41998,LINCS,206,201,5,0.595,0.481996,-0.0022,-0.0509,0.0487
dihydro-7-desacetyldeoxygedunin,GSE41998,LINCS,206,201,5,0.4925,0.958908,0.0031,0.007,-0.004
dihydrorobustic-acid,GSE41998,LINCS,206,201,5,0.3512,0.266677,0.001,0.0552,-0.0542
dimercaptosuccinic-acid,GSE41998,LINCS,206,201,5,0.4587,0.762572,0.0025,0.0161,-0.0136
docosatrienoic-acid,GSE41998,LINCS,206,201,5,0.5214,0.877128,0.0087,0.0138,-0.0052
ebelactone-b,GSE41998,LINCS,206,201,5,0.6806,0.174592,0.0086,-0.0631,0.0717
eicosadienoic-acid,GSE41998,LINCS,206,201,5,0.4806,0.888756,0.0114,0.0114,0.0
eicosatetraynoic-acid,GSE41998,LINCS,206,201,5,0.591,0.500814,0.0086,-0.0566,0.0652
eicosatrienoic-acid,GSE41998,LINCS,206,201,5,0.6687,0.206076,-0.0002,-0.0787,0.0785
emodic-acid,GSE41998,LINCS,206,201,5,0.2706,0.080553,-0.0083,0.2361,-0.2444
enoxacin,GSE41998,LINCS,206,201,5,0.406,0.486666,-0.0024,0.0314,-0.0339
enrofloxacin,GSE41998,LINCS,206,201,5,0.6438,0.283451,0.0023,-0.0581,0.0604
entacapone,GSE41998,LINCS,206,201,5,0.4517,0.72347,0.0078,0.0286,-0.0208
ephedrine-(racemic),GSE41998,LINCS,206,201,5,0.4517,0.72347,0.0032,0.034,-0.0308
epinephrine-(racemic),GSE41998,LINCS,206,201,5,0.4557,0.745738,0.0022,0.0113,-0.0091
eriochrome-black-t,GSE41998,LINCS,206,201,5,0.3652,0.315295,0.0043,0.0621,-0.0578
etacrynic-acid,GSE41998,LINCS,206,201,5,0.3204,0.177079,-0.0091,0.1993,-0.2084
etidronic-acid,GSE41998,LINCS,206,201,5,0.6925,0.146617,-0.0015,-0.0776,0.0761
etodolac,GSE41998,LINCS,206,201,5,0.403,0.472724,-0.0068,0.0379,-0.0447
farnesylthioacetic-acid,GSE41998,LINCS,206,201,5,0.3632,0.308035,-0.0018,0.0572,-0.059
felbinac,GSE41998,LINCS,206,201,5,0.7473,0.058052,0.0086,-0.0758,0.0843
fentiazac,GSE41998,LINCS,206,201,5,0.6677,0.208862,0.0058,-0.0344,0.0402
flucloxacillin,GSE41998,LINCS,206,201,5,0.6498,0.263401,0.0037,-0.0398,0.0435
fludrocortisone-acetate,GSE41998,LINCS,206,201,5,0.7453,0.060279,-0.0007,-0.1031,0.1024
flufenamic-acid,GSE41998,LINCS,206,201,5,0.4169,0.539523,-0.001,0.0271,-0.028
fluocinolone-acetonide,GSE41998,LINCS,206,201,5,0.6259,0.349256,0.0051,-0.0579,0.063
fluorouracil,GSE41998,LINCS,206,201,5,0.3771,0.361045,-0.0072,0.1187,-0.1259
folic-acid,GSE41998,LINCS,206,201,5,0.398,0.449958,-0.0038,0.0217,-0.0255
fusaric-acid,GSE41998,LINCS,206,201,5,0.6119,0.406241,0.0045,-0.0562,0.0607
gamma-linolenic-acid,GSE41998,LINCS,206,201,5,0.4687,0.819402,-0.0027,0.0015,-0.0043
gatifloxacin,GSE41998,LINCS,206,201,5,0.39,0.414787,-0.0083,0.0559,-0.0642
glycocholic-acid,GSE41998,LINCS,206,201,5,0.3562,0.283451,0.0086,0.0647,-0.0561
glycodeoxycholic-acid,GSE41998,LINCS,206,201,5,0.5841,0.534609,0.0004,-0.0337,0.0341
guaiacol,GSE41998,LINCS,206,201,5,0.3264,0.192522,0.0004,0.0757,-0.0753
guanaben-acetate,GSE41998,LINCS,206,201,5,0.5015,0.994127,-0.0009,-0.0086,0.0077
guanfacine,GSE41998,LINCS,206,201,5,0.4368,0.642017,0.0016,0.0226,-0.021
heraclenol,GSE41998,LINCS,206,201,5,0.6109,0.410502,-0.0047,-0.0581,0.0535
hexamethylenebisacetamide,GSE41998,LINCS,206,201,5,0.4179,0.544459,0.0017,0.0533,-0.0516
hydrocortisone-acetate,GSE41998,LINCS,206,201,5,0.6776,0.182128,-0.0017,-0.0602,0.0584
"hydroxytacrine-maleate-(r,s)",GSE41998,LINCS,206,201,5,0.4577,0.756949,0.0004,0.0032,-0.0028
ibandronic-acid,GSE41998,LINCS,206,201,5,0.4299,0.605276,-0.0029,0.016,-0.0189
indometacin,GSE41998,LINCS,206,201,5,0.5443,0.745738,0.0074,-0.0024,0.0098
iocetamic-acid,GSE41998,LINCS,206,201,5,0.0945,0.000545,-0.0053,0.1533,-0.1586
iodoacetic-acid,GSE41998,LINCS,206,201,5,0.2587,0.064932,-0.0078,0.1492,-0.157
iopanoic-acid,GSE41998,LINCS,206,201,5,0.5274,0.842401,0.0067,-0.0005,0.0071
ioxaglic-acid,GSE41998,LINCS,206,201,5,0.6139,0.397795,0.0081,-0.039,0.0471
ipidacrine,GSE41998,LINCS,206,201,5,0.4736,0.848171,0.0053,0.0334,-0.0282
isoflupredone-acetate,GSE41998,LINCS,206,201,5,0.808,0.015461,0.0064,-0.1948,0.2012
isonicotinohydroxamic-acid,GSE41998,LINCS,206,201,5,0.4119,0.515166,0.0024,0.0273,-0.0248
itraconazole,GSE41998,LINCS,206,201,5,0.4716,0.836639,-0.0007,0.0474,-0.0481
ivachtin,GSE41998,LINCS,206,201,5,0.5841,0.534609,0.002,-0.0238,0.0258
ketorolac,GSE41998,LINCS,206,201,5,0.3413,0.235086,-0.0005,0.0401,-0.0406
lacidipine,GSE41998,LINCS,206,201,5,0.409,0.500814,-0.0046,0.1235,-0.1281
larixinic-acid,GSE41998,LINCS,206,201,5,0.7592,0.045991,0.0144,-0.1062,0.1206
levetiracetam,GSE41998,LINCS,206,201,5,0.6239,0.357089,0.0008,-0.043,0.0437
levofloxacin,GSE41998,LINCS,206,201,5,0.3413,0.235086,-0.0071,0.065,-0.0721
linoleic-acid,GSE41998,LINCS,206,201,5,0.4697,0.825139,0.0009,0.0178,-0.0169
lithocholic-acid,GSE41998,LINCS,206,201,5,0.5353,0.796547,0.006,-0.0101,0.0161
lobaric-acid,GSE41998,LINCS,206,201,5,0.5821,0.544459,0.0079,-0.038,0.0459
lomefloxacin,GSE41998,LINCS,206,201,5,0.6667,0.211674,0.0002,-0.0777,0.0779
loracarbef,GSE41998,LINCS,206,201,5,0.5184,0.894578,0.0034,0.0235,-0.0201
maackiain,GSE41998,LINCS,206,201,5,0.7134,0.105596,0.0058,-0.0715,0.0773
marbofloxacin,GSE41998,LINCS,206,201,5,0.4279,0.594944,-0.0079,0.0205,-0.0285
mead-acid,GSE41998,LINCS,206,201,5,0.3274,0.195182,-0.0023,0.0749,-0.0772
meclofenamic-acid,GSE41998,LINCS,206,201,5,0.3622,0.304444,0.0031,0.0555,-0.0524
mefenamic-acid,GSE41998,LINCS,206,201,5,0.2627,0.069856,-0.0002,0.0851,-0.0853
mepacrine,GSE41998,LINCS,206,201,5,0.3443,0.244291,-0.0093,0.1674,-0.1767
mepivacaine,GSE41998,LINCS,206,201,5,0.5124,0.929613,0.0062,0.0133,-0.0071
metacycline,GSE41998,LINCS,206,201,5,0.4318,0.615683,-0.0013,0.0236,-0.0249
methoprene-acid,GSE41998,LINCS,206,201,5,0.6925,0.146617,0.0088,-0.0534,0.0622
methyllycaconitine,GSE41998,LINCS,206,201,5,0.4617,0.77951,0.0099,0.0059,0.004
milnacipran,GSE41998,LINCS,206,201,5,0.3244,0.187275,-0.0015,0.0846,-0.0861
mofezolac,GSE41998,LINCS,206,201,5,0.5274,0.842401,0.0053,-0.0002,0.0055
moracizine,GSE41998,LINCS,206,201,5,0.3363,0.220261,-0.0023,0.0797,-0.082
moxifloxacin,GSE41998,LINCS,206,201,5,0.3831,0.385316,-0.007,0.0443,-0.0513
mycophenolic-acid,GSE41998,LINCS,206,201,5,0.206,0.021652,-0.0097,0.2518,-0.2616
n-acetyl-l-leucine,GSE41998,LINCS,206,201,5,0.6796,0.177079,0.0033,-0.074,0.0773
nadifloxacin,GSE41998,LINCS,206,201,5,0.7781,0.031002,0.0027,-0.1103,0.113
nalidixic-acid,GSE41998,LINCS,206,201,5,0.5831,0.539523,0.0041,-0.0434,0.0475
niacin,GSE41998,LINCS,206,201,5,0.4408,0.663393,0.0005,0.0246,-0.0242
niflumic-acid,GSE41998,LINCS,206,201,5,0.3781,0.365026,-0.0086,0.0353,-0.0439
nomegestrol-acetate,GSE41998,LINCS,206,201,5,0.3592,0.29383,-0.003,0.0486,-0.0516
norfloxacin,GSE41998,LINCS,206,201,5,0.5284,0.836639,-0.0053,-0.0221,0.0168
ofloxacin,GSE41998,LINCS,206,201,5,0.4935,0.964775,-0.0024,-0.003,0.0006
oxacillin,GSE41998,LINCS,206,201,5,0.5642,0.636715,0.0041,-0.0367,0.0408
oxalomalic-acid,GSE41998,LINCS,206,201,5,0.5134,0.923763,-0.0084,-0.0091,0.0007
oxetacaine,GSE41998,LINCS,206,201,5,0.3244,0.187275,-0.0001,0.0873,-0.0873
oxolinic-acid,GSE41998,LINCS,206,201,5,0.4557,0.745738,0.0062,0.0315,-0.0253
oxytetracycline,GSE41998,LINCS,206,201,5,0.4438,0.679597,-0.002,0.0165,-0.0185
paclitaxel,GSE41998,LINCS,206,201,5,0.2935,0.118195,0.0039,0.0892,-0.0852
paracetamol,GSE41998,LINCS,206,201,5,0.7731,0.034502,0.0115,-0.1437,0.1552
parachlorophenol,GSE41998,LINCS,206,201,5,0.3124,0.157856,-0.0079,0.1319,-0.1398
pazufloxacin,GSE41998,LINCS,206,201,5,0.5134,0.923763,0.0049,-0.0238,0.0287
pefloxacin,GSE41998,LINCS,206,201,5,0.3224,0.182128,0.0009,0.1054,-0.1045
penicillic-acid,GSE41998,LINCS,206,201,5,0.3104,0.15329,-0.0004,0.0692,-0.0696
pentetic-acid,GSE41998,LINCS,206,201,5,0.394,0.432177,0.0008,0.0316,-0.0308
phenacetin,GSE41998,LINCS,206,201,5,0.6189,0.377123,0.004,-0.0297,0.0337
phorbol-12-myristate-13-acetate,GSE41998,LINCS,206,201,5,0.3781,0.365026,-0.0036,0.0917,-0.0954
pinacidil,GSE41998,LINCS,206,201,5,0.8169,0.012294,0.013,-0.2161,0.2292
pipemidic-acid,GSE41998,LINCS,206,201,5,0.7542,0.050752,0.0024,-0.1398,0.1422
piperacetazine,GSE41998,LINCS,206,201,5,0.2945,0.12008,0.0033,0.0935,-0.0902
piperacillin,GSE41998,LINCS,206,201,5,0.6557,0.244291,0.0053,-0.0379,0.0432
piracetam,GSE41998,LINCS,206,201,5,0.8279,0.009152,0.0121,-0.1011,0.1132
pirinixic-acid,GSE41998,LINCS,206,201,5,0.5612,0.652672,-0.0002,-0.0168,0.0167
piromidic-acid,GSE41998,LINCS,206,201,5,0.3672,0.322659,-0.0034,0.0558,-0.0592
practolol,GSE41998,LINCS,206,201,5,0.3662,0.318964,0.0022,0.0616,-0.0594
prednisolone-acetate,GSE41998,LINCS,206,201,5,0.39,0.414787,0.006,0.0582,-0.0522
propylthiouracil,GSE41998,LINCS,206,201,5,0.4816,0.894578,0.003,0.0176,-0.0145
proxymetacaine,GSE41998,LINCS,206,201,5,0.4269,0.589806,0.0001,0.0408,-0.0406
racecadotril,GSE41998,LINCS,206,201,5,0.1721,0.009152,0.0008,0.0889,-0.0881
raclopride,GSE41998,LINCS,206,201,5,0.6627,0.223175,0.0107,-0.0693,0.08
remacemide,GSE41998,LINCS,206,201,5,0.6577,0.238129,0.0001,-0.0903,0.0904
reserpic-acid,GSE41998,LINCS,206,201,5,0.3274,0.195182,-0.0032,0.0671,-0.0703
retinyl-acetate,GSE41998,LINCS,206,201,5,0.6249,0.35316,0.002,-0.0531,0.055
rhizocarpic-acid,GSE41998,LINCS,206,201,5,0.8169,0.012294,0.0041,-0.139,0.1431
rolitetracycline,GSE41998,LINCS,206,201,5,0.5512,0.706909,0.0002,-0.0199,0.0201
ropivacaine,GSE41998,LINCS,206,201,5,0.5134,0.923763,0.0096,0.0011,0.0085
rosmarinic-acid,GSE41998,LINCS,206,201,5,0.5085,0.953044,-0.0016,-0.0235,0.0219
rotenonic-acid,GSE41998,LINCS,206,201,5,0.5453,0.740152,0.0063,-0.0157,0.022
roxatidine-acetate,GSE41998,LINCS,206,201,5,0.2985,0.127841,-0.0059,0.1063,-0.1122
rufloxacin,GSE41998,LINCS,206,201,5,0.3443,0.244291,-0.0071,0.0982,-0.1053
saclofen,GSE41998,LINCS,206,201,5,0.3443,0.244291,0.0091,0.0736,-0.0645
saracatinib,GSE41998,LINCS,206,201,5,0.2388,0.044188,-0.0044,0.1401,-0.1445
sarafloxacin,GSE41998,LINCS,206,201,5,0.6428,0.286884,0.0039,-0.0745,0.0784
sertaconazole,GSE41998,LINCS,206,201,5,0.391,0.419097,-0.0015,0.0992,-0.1007
solifenacin,GSE41998,LINCS,206,201,5,0.2308,0.037523,0.0027,0.1258,-0.1232
spaglumic-acid,GSE41998,LINCS,206,201,5,0.7373,0.069856,0.0002,-0.1041,0.1043
sparfloxacin,GSE41998,LINCS,206,201,5,0.7264,0.084868,0.0041,-0.0738,0.0779
sparfosic-acid,GSE41998,LINCS,206,201,5,0.7393,0.06736,0.0076,-0.088,0.0956
spironolactone,GSE41998,LINCS,206,201,5,0.3144,0.162518,-0.0054,0.0939,-0.0993
sulbactam,GSE41998,LINCS,206,201,5,0.3542,0.276663,-0.0008,0.0487,-0.0495
sulfacetamide,GSE41998,LINCS,206,201,5,0.408,0.496076,-0.0043,0.0433,-0.0476
sulfachlorpyridazine,GSE41998,LINCS,206,201,5,0.3075,0.146617,-0.0074,0.0919,-0.0993
sulindac,GSE41998,LINCS,206,201,5,0.3821,0.381206,-0.0032,0.063,-0.0663
tacedinaline,GSE41998,LINCS,206,201,5,0.4527,0.729017,-0.0039,0.0325,-0.0364
tacrine,GSE41998,LINCS,206,201,5,0.4189,0.549416,-0.0004,0.0374,-0.0378
tacrolimus,GSE41998,LINCS,206,201,5,0.3741,0.349256,-0.0039,0.1271,-0.131
taurocholic-acid,GSE41998,LINCS,206,201,5,0.7522,0.05276,0.0053,-0.0973,0.1026
taurodeoxycholic-acid,GSE41998,LINCS,206,201,5,0.804,0.017062,0.0012,-0.1344,0.1357
tazobactam,GSE41998,LINCS,206,201,5,0.6428,0.286884,0.0033,-0.0325,0.0358
terreic-acid-(-),GSE41998,LINCS,206,201,5,0.4627,0.785179,0.0086,0.0201,-0.0116
tetracaine,GSE41998,LINCS,206,201,5,0.4736,0.848171,0.0052,0.0082,-0.0031
tetracycline,GSE41998,LINCS,206,201,5,0.6348,0.315295,0.0107,-0.0566,0.0673
tetradecylthioacetic-acid,GSE41998,LINCS,206,201,5,0.59,0.505576,0.0059,-0.0225,0.0284
tetrahydrocannabinol-7-oic-acid,GSE41998,LINCS,206,201,5,0.4348,0.63143,-0.0022,0.0135,-0.0157
thenoyltrifluoroacetone,GSE41998,LINCS,206,201,5,0.7751,0.033066,0.007,-0.0873,0.0943
thiazolidinecarboxylic-acid,GSE41998,LINCS,206,201,5,0.4677,0.813674,0.0059,0.0211,-0.0153
