dataset_id	treatment_class	model_type	auc	n_test	n_train	n_train_datasets	resp_rate_test
ispy2_Paclitaxel_plus_Pertuzumab_plus_Trastuzumab	her2_targeted	class_specific	0.47435897435897434	44	396	6	0.5909090909090909
ispy2_Paclitaxel_plus_Ganitumab	other_targeted	class_specific	0.4081325301204819	107	226	3	0.22429906542056074
ispy2_Paclitaxel_plus_Ganetespib	other_targeted	class_specific	0.4799081515499426	93	240	3	0.27956989247311825
ispy2_Paclitaxel_plus_AMG_386	other_targeted	class_specific	0.454171343060232	114	219	3	0.2894736842105263
ispy2_Paclitaxel_plus_AMG_386_plus_Trastuzumab	other_targeted	class_specific	0.4487179487179487	19	314	3	0.3157894736842105
ctrdb_GSE20181	endocrine	pooled	0.3867768595041322	154	3834	31	0.7142857142857143
ctrdb_GSE20194	chemo	pooled	0.9130469755469756	278	3710	31	0.2014388489208633
ctrdb_GSE20271	chemo	pooled	0.7069838056680162	178	3810	31	0.14606741573033707
ctrdb_GSE21974	chemo	pooled	0.6282051282051282	57	3931	31	0.3157894736842105
ctrdb_GSE22093	chemo	pooled	0.6909937888198756	97	3891	31	0.28865979381443296
ctrdb_GSE23988	chemo	pooled	0.9792682926829268	61	3927	31	0.32786885245901637
ctrdb_GSE25066	chemo	pooled	0.8659863415647477	488	3500	31	0.2028688524590164
ctrdb_GSE32646	chemo	pooled	0.7146464646464646	115	3873	31	0.23478260869565218
ctrdb_GSE37946	her2_targeted	pooled	0.7616747181964573	50	3938	31	0.54
ctrdb_GSE41998	chemo	pooled	0.6636815920398009	206	3782	31	0.9757281553398058
ctrdb_GSE44272	her2_targeted	pooled	0.5253968253968254	53	3935	31	0.660377358490566
ctrdb_GSE4779	chemo	pooled	0.9922669922669923	102	3886	31	0.38235294117647056
ctrdb_GSE48905	endocrine	pooled	0.40555555555555556	39	3949	31	0.38461538461538464
ctrdb_GSE50948	chemo	pooled	0.5343469499908408	156	3832	31	0.33974358974358976
ctrdb_GSE66999	chemo	pooled	0.3666666666666667	76	3912	31	0.9210526315789473
ctrdb_GSE6861	chemo	pooled	0.8607655502392344	161	3827	31	0.40993788819875776
ctrdb_GSE76360	her2_targeted	pooled	0.4636363636363636	96	3892	31	0.6875
ctrdb_GSE82172	endocrine	pooled	0.41875681570338064	152	3836	31	0.13815789473684212
ispy2_Paclitaxel	chemo	pooled	0.5926329555361813	179	3809	31	0.17318435754189945
ispy2_Paclitaxel_plus_Neratinib	her2_targeted	pooled	0.5066137566137565	114	3874	31	0.3684210526315789
ispy2_Paclitaxel_plus_ABT_888_plus_Carboplatin	dna_damage	pooled	0.36447811447811446	71	3917	31	0.38028169014084506
ispy2_Paclitaxel_plus_Pembrolizumab	immunotherapy	pooled	0.433786078098472	69	3919	31	0.4492753623188406
ispy2_T-DM1_plus_Pertuzumab	her2_targeted	pooled	0.5287878787878788	52	3936	31	0.5769230769230769
ispy2_Paclitaxel_plus_Ganitumab	other_targeted	pooled	0.47289156626506024	107	3881	31	0.22429906542056074
ispy2_Paclitaxel_plus_Ganetespib	other_targeted	pooled	0.4500574052812859	93	3895	31	0.27956989247311825
ispy2_Paclitaxel_plus_MK-2206	targeted	pooled	0.6203703703703705	60	3928	31	0.3
ispy2_Paclitaxel_plus_MK-2206_plus_Trastuzumab	targeted	pooled	0.6920415224913494	34	3954	31	0.5
ispy2_Paclitaxel_plus_Trastuzumab	her2_targeted	pooled	0.3695652173913043	31	3957	31	0.25806451612903225
ispy2_Paclitaxel_plus_Pertuzumab_plus_Trastuzumab	her2_targeted	pooled	0.4551282051282051	44	3944	31	0.5909090909090909
ispy2_Paclitaxel_plus_AMG_386	other_targeted	pooled	0.530115974560419	114	3874	31	0.2894736842105263
ispy2_Paclitaxel_plus_AMG_386_plus_Trastuzumab	other_targeted	pooled	0.2564102564102564	19	3969	31	0.3157894736842105
brightness_GSE164458	dna_damage	pooled	0.5909638969271049	482	3506	31	0.4896265560165975
