held_out_dataset	method	k	seed	endpoint_family	drug	n_holdout	n_query	auroc	auprc
GSE104645	nn_finetune	20	3	radiographic	Fluorouracil+Leucovorin+Oxaliplatin	126	106	0.6365	0.9171
GSE104645	nn_finetune	20	4	radiographic	Fluorouracil+Leucovorin+Oxaliplatin	126	106	0.6365	0.9241
GSE104958	l1_logistic	0	0	pathologic_response	Cisplatin+Docetaxel+Fluorouracil	46	46	0.6667	0.4077
GSE104958	l1_logistic	5	0	pathologic_response	Cisplatin+Docetaxel+Fluorouracil	46	41	0.6424	0.4224
GSE104958	l1_logistic	5	1	pathologic_response	Cisplatin+Docetaxel+Fluorouracil	46	41	0.7273	0.4398
GSE104958	l1_logistic	5	2	pathologic_response	Cisplatin+Docetaxel+Fluorouracil	46	41	0.7121	0.4526
GSE104958	l1_logistic	5	3	pathologic_response	Cisplatin+Docetaxel+Fluorouracil	46	41	0.6152	0.3896
GSE104958	l1_logistic	5	4	pathologic_response	Cisplatin+Docetaxel+Fluorouracil	46	41	0.5697	0.3645
GSE104958	l1_logistic	10	0	pathologic_response	Cisplatin+Docetaxel+Fluorouracil	46	36	0.5885	0.3561
GSE104958	l1_logistic	10	1	pathologic_response	Cisplatin+Docetaxel+Fluorouracil	46	36	0.6914	0.4075
GSE104958	l1_logistic	10	2	pathologic_response	Cisplatin+Docetaxel+Fluorouracil	46	36	0.6337	0.368
GSE104958	l1_logistic	10	3	pathologic_response	Cisplatin+Docetaxel+Fluorouracil	46	36	0.6914	0.4122
GSE104958	l1_logistic	10	4	pathologic_response	Cisplatin+Docetaxel+Fluorouracil	46	36	0.6132	0.3798
GSE104958	l1_logistic	20	0	pathologic_response	Cisplatin+Docetaxel+Fluorouracil	46	26	0.5564	0.3939
GSE104958	l1_logistic	20	1	pathologic_response	Cisplatin+Docetaxel+Fluorouracil	46	26	0.6165	0.3869
GSE104958	l1_logistic	20	2	pathologic_response	Cisplatin+Docetaxel+Fluorouracil	46	26	0.8045	0.546
GSE104958	l1_logistic	20	3	pathologic_response	Cisplatin+Docetaxel+Fluorouracil	46	26	0.5564	0.352
GSE104958	l1_logistic	20	4	pathologic_response	Cisplatin+Docetaxel+Fluorouracil	46	26	0.5414	0.3464
GSE104958	feature_calibration	0	0	pathologic_response	Cisplatin+Docetaxel+Fluorouracil	46	46	0.6667	0.4077
GSE104958	feature_calibration	5	0	pathologic_response	Cisplatin+Docetaxel+Fluorouracil	46	41	0.6455	0.4871
GSE104958	feature_calibration	5	1	pathologic_response	Cisplatin+Docetaxel+Fluorouracil	46	41	0.6333	0.4704
GSE104958	feature_calibration	5	2	pathologic_response	Cisplatin+Docetaxel+Fluorouracil	46	41	0.603	0.4529
GSE104958	feature_calibration	5	3	pathologic_response	Cisplatin+Docetaxel+Fluorouracil	46	41	0.5515	0.4725
GSE104958	feature_calibration	5	4	pathologic_response	Cisplatin+Docetaxel+Fluorouracil	46	41	0.5788	0.3883
GSE104958	feature_calibration	10	0	pathologic_response	Cisplatin+Docetaxel+Fluorouracil	46	36	0.4362	0.314
GSE104958	feature_calibration	10	1	pathologic_response	Cisplatin+Docetaxel+Fluorouracil	46	36	0.6255	0.398
GSE104958	feature_calibration	10	2	pathologic_response	Cisplatin+Docetaxel+Fluorouracil	46	36	0.5597	0.4076
GSE104958	feature_calibration	10	3	pathologic_response	Cisplatin+Docetaxel+Fluorouracil	46	36	0.5926	0.4858
GSE104958	feature_calibration	10	4	pathologic_response	Cisplatin+Docetaxel+Fluorouracil	46	36	0.572	0.4721
GSE104958	feature_calibration	20	0	pathologic_response	Cisplatin+Docetaxel+Fluorouracil	46	26	0.5188	0.5286
GSE104958	feature_calibration	20	1	pathologic_response	Cisplatin+Docetaxel+Fluorouracil	46	26	0.406	0.3048
GSE104958	feature_calibration	20	2	pathologic_response	Cisplatin+Docetaxel+Fluorouracil	46	26	0.6541	0.6144
GSE104958	feature_calibration	20	3	pathologic_response	Cisplatin+Docetaxel+Fluorouracil	46	26	0.6466	0.5173
GSE104958	feature_calibration	20	4	pathologic_response	Cisplatin+Docetaxel+Fluorouracil	46	26	0.6165	0.4939
GSE104958	nn_finetune	0	0	pathologic_response	Cisplatin+Docetaxel+Fluorouracil	46	46	0.5588	0.374
GSE104958	nn_finetune	5	0	pathologic_response	Cisplatin+Docetaxel+Fluorouracil	46	41	0.5424	0.3696
GSE104958	nn_finetune	5	1	pathologic_response	Cisplatin+Docetaxel+Fluorouracil	46	41	0.6	0.3721
GSE104958	nn_finetune	5	2	pathologic_response	Cisplatin+Docetaxel+Fluorouracil	46	41	0.5273	0.3542
GSE104958	nn_finetune	5	3	pathologic_response	Cisplatin+Docetaxel+Fluorouracil	46	41	0.4848	0.3662
GSE104958	nn_finetune	5	4	pathologic_response	Cisplatin+Docetaxel+Fluorouracil	46	41	0.5697	0.4143
GSE104958	nn_finetune	10	0	pathologic_response	Cisplatin+Docetaxel+Fluorouracil	46	36	0.5226	0.3325
GSE104958	nn_finetune	10	1	pathologic_response	Cisplatin+Docetaxel+Fluorouracil	46	36	0.6296	0.3682
GSE104958	nn_finetune	10	2	pathologic_response	Cisplatin+Docetaxel+Fluorouracil	46	36	0.5885	0.3036
GSE104958	nn_finetune	10	3	pathologic_response	Cisplatin+Docetaxel+Fluorouracil	46	36	0.5885	0.3895
GSE104958	nn_finetune	10	4	pathologic_response	Cisplatin+Docetaxel+Fluorouracil	46	36	0.4856	0.4251
GSE104958	nn_finetune	20	0	pathologic_response	Cisplatin+Docetaxel+Fluorouracil	46	26	0.5489	0.3286
GSE104958	nn_finetune	20	1	pathologic_response	Cisplatin+Docetaxel+Fluorouracil	46	26	0.4662	0.3196
GSE104958	nn_finetune	20	2	pathologic_response	Cisplatin+Docetaxel+Fluorouracil	46	26	0.6842	0.4447
GSE104958	nn_finetune	20	3	pathologic_response	Cisplatin+Docetaxel+Fluorouracil	46	26	0.7143	0.5288
GSE104958	nn_finetune	20	4	pathologic_response	Cisplatin+Docetaxel+Fluorouracil	46	26	0.5714	0.4164
GSE109211	l1_logistic	0	0	pharmacodynamic	Sorafenib	140	140	0.3897	0.278
GSE109211	l1_logistic	5	0	pharmacodynamic	Sorafenib	140	135	0.8811	0.7407
GSE109211	l1_logistic	5	1	pharmacodynamic	Sorafenib	140	135	0.8595	0.7137
GSE109211	l1_logistic	5	2	pharmacodynamic	Sorafenib	140	135	0.8361	0.6625
GSE109211	l1_logistic	5	3	pharmacodynamic	Sorafenib	140	135	0.6013	0.3654
GSE109211	l1_logistic	5	4	pharmacodynamic	Sorafenib	140	135	0.8721	0.7054
GSE109211	l1_logistic	10	0	pharmacodynamic	Sorafenib	140	130	0.8535	0.6683
GSE109211	l1_logistic	10	1	pharmacodynamic	Sorafenib	140	130	0.8974	0.7516
GSE109211	l1_logistic	10	2	pharmacodynamic	Sorafenib	140	130	0.854	0.6793
GSE109211	l1_logistic	10	3	pharmacodynamic	Sorafenib	140	130	0.9279	0.8424
GSE109211	l1_logistic	10	4	pharmacodynamic	Sorafenib	140	130	0.8907	0.7481
GSE109211	l1_logistic	20	0	pharmacodynamic	Sorafenib	140	120	0.919	0.8083
GSE109211	l1_logistic	20	1	pharmacodynamic	Sorafenib	140	120	0.8955	0.7283
GSE109211	l1_logistic	20	2	pharmacodynamic	Sorafenib	140	120	0.9041	0.7438
GSE109211	l1_logistic	20	3	pharmacodynamic	Sorafenib	140	120	0.919	0.7736
GSE109211	l1_logistic	20	4	pharmacodynamic	Sorafenib	140	120	0.9101	0.7429
GSE109211	feature_calibration	0	0	pharmacodynamic	Sorafenib	140	140	0.3897	0.278
GSE109211	feature_calibration	5	0	pharmacodynamic	Sorafenib	140	135	0.2671	0.2541
GSE109211	feature_calibration	5	1	pharmacodynamic	Sorafenib	140	135	0.2458	0.2466
GSE109211	feature_calibration	5	2	pharmacodynamic	Sorafenib	140	135	0.2861	0.2558
GSE109211	feature_calibration	5	3	pharmacodynamic	Sorafenib	140	135	0.1795	0.1995
GSE109211	feature_calibration	5	4	pharmacodynamic	Sorafenib	140	135	0.3711	0.2801
GSE109211	feature_calibration	10	0	pharmacodynamic	Sorafenib	140	130	0.3023	0.2655
GSE109211	feature_calibration	10	1	pharmacodynamic	Sorafenib	140	130	0.3443	0.2778
GSE109211	feature_calibration	10	2	pharmacodynamic	Sorafenib	140	130	0.357	0.2805
GSE109211	feature_calibration	10	3	pharmacodynamic	Sorafenib	140	130	0.2527	0.2527
GSE109211	feature_calibration	10	4	pharmacodynamic	Sorafenib	140	130	0.3722	0.2897
GSE109211	feature_calibration	20	0	pharmacodynamic	Sorafenib	140	120	0.2619	0.2489
GSE109211	feature_calibration	20	1	pharmacodynamic	Sorafenib	140	120	0.2546	0.2583
GSE109211	feature_calibration	20	2	pharmacodynamic	Sorafenib	140	120	0.2381	0.2282
GSE109211	feature_calibration	20	3	pharmacodynamic	Sorafenib	140	120	0.2202	0.2495
GSE109211	feature_calibration	20	4	pharmacodynamic	Sorafenib	140	120	0.2467	0.2468
GSE109211	nn_finetune	0	0	pharmacodynamic	Sorafenib	140	140	0.4532	0.3045
GSE109211	nn_finetune	5	0	pharmacodynamic	Sorafenib	140	135	0.5163	0.3544
GSE109211	nn_finetune	5	1	pharmacodynamic	Sorafenib	140	135	0.4803	0.335
GSE109211	nn_finetune	5	2	pharmacodynamic	Sorafenib	140	135	0.4947	0.3415
GSE109211	nn_finetune	5	3	pharmacodynamic	Sorafenib	140	135	0.4687	0.3332
GSE109211	nn_finetune	5	4	pharmacodynamic	Sorafenib	140	135	0.4789	0.3237
GSE109211	nn_finetune	10	0	pharmacodynamic	Sorafenib	140	130	0.5435	0.3795
GSE109211	nn_finetune	10	1	pharmacodynamic	Sorafenib	140	130	0.4697	0.3431
GSE109211	nn_finetune	10	2	pharmacodynamic	Sorafenib	140	130	0.5083	0.3578
GSE109211	nn_finetune	10	3	pharmacodynamic	Sorafenib	140	130	0.5283	0.3632
GSE109211	nn_finetune	10	4	pharmacodynamic	Sorafenib	140	130	0.5317	0.3647
GSE109211	nn_finetune	20	0	pharmacodynamic	Sorafenib	140	120	0.5106	0.3526
GSE109211	nn_finetune	20	1	pharmacodynamic	Sorafenib	140	120	0.5141	0.3336
GSE109211	nn_finetune	20	2	pharmacodynamic	Sorafenib	140	120	0.5	0.3566
GSE109211	nn_finetune	20	3	pharmacodynamic	Sorafenib	140	120	0.5043	0.3439
GSE109211	nn_finetune	20	4	pharmacodynamic	Sorafenib	140	120	0.4755	0.3429
GSE14671	l1_logistic	0	0	pharmacodynamic	Imatinib	59	59	0.5949	0.7623
GSE14671	l1_logistic	5	0	pharmacodynamic	Imatinib	59	54	0.6036	0.7806
GSE14671	l1_logistic	5	1	pharmacodynamic	Imatinib	59	54	0.5806	0.7613
GSE14671	l1_logistic	5	2	pharmacodynamic	Imatinib	59	54	0.6447	0.7938
GSE14671	l1_logistic	5	3	pharmacodynamic	Imatinib	59	54	0.5921	0.7544
GSE14671	l1_logistic	5	4	pharmacodynamic	Imatinib	59	54	0.5938	0.7772
GSE14671	l1_logistic	10	0	pharmacodynamic	Imatinib	59	49	0.6431	0.791
GSE14671	l1_logistic	10	1	pharmacodynamic	Imatinib	59	49	0.5686	0.7504
GSE14671	l1_logistic	10	2	pharmacodynamic	Imatinib	59	49	0.5941	0.7916
GSE14671	l1_logistic	10	3	pharmacodynamic	Imatinib	59	49	0.6373	0.7836
GSE14671	l1_logistic	10	4	pharmacodynamic	Imatinib	59	49	0.6098	0.7605
GSE14671	l1_logistic	20	0	pharmacodynamic	Imatinib	59	39	0.4969	0.706
GSE14671	l1_logistic	20	1	pharmacodynamic	Imatinib	59	39	0.6852	0.84
GSE14671	l1_logistic	20	2	pharmacodynamic	Imatinib	59	39	0.5957	0.7693
GSE14671	l1_logistic	20	3	pharmacodynamic	Imatinib	59	39	0.571	0.7588
GSE14671	l1_logistic	20	4	pharmacodynamic	Imatinib	59	39	0.6142	0.7918
GSE14671	feature_calibration	0	0	pharmacodynamic	Imatinib	59	59	0.5949	0.7623
GSE14671	feature_calibration	5	0	pharmacodynamic	Imatinib	59	54	0.6168	0.7852
GSE14671	feature_calibration	5	1	pharmacodynamic	Imatinib	59	54	0.5905	0.757
GSE14671	feature_calibration	5	2	pharmacodynamic	Imatinib	59	54	0.6513	0.8009
GSE14671	feature_calibration	5	3	pharmacodynamic	Imatinib	59	54	0.6316	0.7896
GSE14671	feature_calibration	5	4	pharmacodynamic	Imatinib	59	54	0.6332	0.8066
GSE14671	feature_calibration	10	0	pharmacodynamic	Imatinib	59	49	0.6765	0.8154
GSE14671	feature_calibration	10	1	pharmacodynamic	Imatinib	59	49	0.5961	0.7717
GSE14671	feature_calibration	10	2	pharmacodynamic	Imatinib	59	49	0.6392	0.8137
GSE14671	feature_calibration	10	3	pharmacodynamic	Imatinib	59	49	0.6549	0.7887
GSE14671	feature_calibration	10	4	pharmacodynamic	Imatinib	59	49	0.6353	0.7826
GSE14671	feature_calibration	20	0	pharmacodynamic	Imatinib	59	39	0.5525	0.7329
GSE14671	feature_calibration	20	1	pharmacodynamic	Imatinib	59	39	0.6883	0.8446
GSE14671	feature_calibration	20	2	pharmacodynamic	Imatinib	59	39	0.5926	0.763
GSE14671	feature_calibration	20	3	pharmacodynamic	Imatinib	59	39	0.5741	0.771
GSE14671	feature_calibration	20	4	pharmacodynamic	Imatinib	59	39	0.6698	0.8185
GSE14671	nn_finetune	0	0	pharmacodynamic	Imatinib	59	59	0.4322	0.6572
GSE14671	nn_finetune	5	0	pharmacodynamic	Imatinib	59	54	0.3997	0.6224
GSE14671	nn_finetune	5	1	pharmacodynamic	Imatinib	59	54	0.4342	0.6711
GSE14671	nn_finetune	5	2	pharmacodynamic	Imatinib	59	54	0.4309	0.6498
GSE14671	nn_finetune	5	3	pharmacodynamic	Imatinib	59	54	0.4178	0.6634
GSE14671	nn_finetune	5	4	pharmacodynamic	Imatinib	59	54	0.4868	0.6806
GSE14671	nn_finetune	10	0	pharmacodynamic	Imatinib	59	49	0.4647	0.6405
GSE14671	nn_finetune	10	1	pharmacodynamic	Imatinib	59	49	0.4235	0.6221
GSE14671	nn_finetune	10	2	pharmacodynamic	Imatinib	59	49	0.4882	0.6514
GSE14671	nn_finetune	10	3	pharmacodynamic	Imatinib	59	49	0.4392	0.6353
GSE14671	nn_finetune	10	4	pharmacodynamic	Imatinib	59	49	0.4118	0.6322
GSE14671	nn_finetune	20	0	pharmacodynamic	Imatinib	59	39	0.4846	0.6903
GSE14671	nn_finetune	20	1	pharmacodynamic	Imatinib	59	39	0.4444	0.6417
GSE14671	nn_finetune	20	2	pharmacodynamic	Imatinib	59	39	0.4568	0.6477
GSE14671	nn_finetune	20	3	pharmacodynamic	Imatinib	59	39	0.2932	0.5959
GSE14671	nn_finetune	20	4	pharmacodynamic	Imatinib	59	39	0.4475	0.6337
GSE173263	l1_logistic	0	0	unknown	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	39	39	0.5138	0.7789
GSE173263	l1_logistic	5	0	unknown	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	39	34	0.4756	0.745
GSE173263	l1_logistic	5	1	unknown	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	39	34	0.5511	0.7947
GSE173263	l1_logistic	5	2	unknown	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	39	34	0.5733	0.7996
GSE173263	l1_logistic	5	3	unknown	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	39	34	0.5244	0.7733
GSE173263	l1_logistic	5	4	unknown	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	39	34	0.52	0.7775
GSE173263	l1_logistic	10	0	unknown	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	39	29	0.513	0.8024
GSE173263	l1_logistic	10	1	unknown	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	39	29	0.6623	0.8778
GSE173263	l1_logistic	10	2	unknown	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	39	29	0.3831	0.7491
GSE173263	l1_logistic	10	3	unknown	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	39	29	0.5	0.8056
GSE173263	l1_logistic	10	4	unknown	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	39	29	0.6104	0.8376
GSE173263	l1_logistic	20	0	unknown	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	39	19	0.6143	0.8373
GSE173263	l1_logistic	20	1	unknown	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	39	19	0.6286	0.8554
GSE173263	l1_logistic	20	2	unknown	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	39	19	0.6143	0.78
GSE173263	l1_logistic	20	3	unknown	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	39	19	0.5286	0.7706
GSE173263	l1_logistic	20	4	unknown	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	39	19	0.6857	0.8874
GSE173263	feature_calibration	0	0	unknown	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	39	39	0.5138	0.7789
GSE173263	feature_calibration	5	0	unknown	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	39	34	0.5867	0.8212
GSE173263	feature_calibration	5	1	unknown	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	39	34	0.64	0.8462
GSE173263	feature_calibration	5	2	unknown	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	39	34	0.64	0.8504
GSE173263	feature_calibration	5	3	unknown	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	39	34	0.6044	0.8254
GSE173263	feature_calibration	5	4	unknown	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	39	34	0.5956	0.8326
GSE173263	feature_calibration	10	0	unknown	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	39	29	0.5714	0.8353
GSE173263	feature_calibration	10	1	unknown	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	39	29	0.7078	0.8953
GSE173263	feature_calibration	10	2	unknown	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	39	29	0.461	0.7838
GSE173263	feature_calibration	10	3	unknown	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	39	29	0.5519	0.844
GSE173263	feature_calibration	10	4	unknown	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	39	29	0.6623	0.8616
GSE173263	feature_calibration	20	0	unknown	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	39	19	0.6429	0.8545
GSE173263	feature_calibration	20	1	unknown	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	39	19	0.6571	0.8532
GSE173263	feature_calibration	20	2	unknown	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	39	19	0.6714	0.8483
GSE173263	feature_calibration	20	3	unknown	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	39	19	0.5714	0.7855
GSE173263	feature_calibration	20	4	unknown	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	39	19	0.7	0.8904
GSE173263	nn_finetune	0	0	unknown	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	39	39	0.4069	0.7342
GSE173263	nn_finetune	5	0	unknown	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	39	34	0.3289	0.7061
GSE173263	nn_finetune	5	1	unknown	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	39	34	0.4667	0.7569
GSE173263	nn_finetune	5	2	unknown	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	39	34	0.4267	0.7438
GSE173263	nn_finetune	5	3	unknown	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	39	34	0.4356	0.7507
GSE173263	nn_finetune	5	4	unknown	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	39	34	0.4222	0.7441
GSE173263	nn_finetune	10	0	unknown	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	39	29	0.461	0.7701
GSE173263	nn_finetune	10	1	unknown	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	39	29	0.4351	0.7794
GSE173263	nn_finetune	10	2	unknown	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	39	29	0.3701	0.7409
GSE173263	nn_finetune	10	3	unknown	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	39	29	0.3766	0.7429
GSE173263	nn_finetune	10	4	unknown	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	39	29	0.5909	0.8214
GSE173263	nn_finetune	20	0	unknown	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	39	19	0.4429	0.7432
GSE173263	nn_finetune	20	1	unknown	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	39	19	0.6714	0.8638
GSE173263	nn_finetune	20	2	unknown	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	39	19	0.6571	0.8459
GSE173263	nn_finetune	20	3	unknown	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	39	19	0.3571	0.6648
GSE173263	nn_finetune	20	4	unknown	Cyclophosphamide+Doxorubicin+Prednisolone+Rituximab+Vincristine	39	19	0.5714	0.8259
GSE19293	l1_logistic	0	0	radiographic	Melphalan	52	52	0.5521	0.4683
GSE19293	l1_logistic	5	0	radiographic	Melphalan	52	47	0.5818	0.4895
GSE19293	l1_logistic	5	1	radiographic	Melphalan	52	47	0.5691	0.4855
GSE19293	l1_logistic	5	2	radiographic	Melphalan	52	47	0.5582	0.4787
GSE19293	l1_logistic	5	3	radiographic	Melphalan	52	47	0.5691	0.4882
GSE19293	l1_logistic	5	4	radiographic	Melphalan	52	47	0.5509	0.4786
