dataset,drug_string,approach,auc,n_train,n_test,n_features,matched_drugs
GSE62321,Fluorouracil+Irinotecan+Leucovorin,dose_stratified,0.47766749379652607,3653,57,4,"fluorouracil, irinotecan, leucovorin"
GSE62321,Fluorouracil+Irinotecan+Leucovorin,dose_stratified_slope,0.45905707196029777,3653,57,8,"fluorouracil, irinotecan, leucovorin"
GSE63885,Platinum+Taxane,dose_averaged,0.4615384615384615,3642,68,3,"cisplatin, paclitaxel, docetaxel"
GSE63885,Platinum+Taxane,dose_stratified,0.2923076923076923,3642,68,5,"cisplatin, paclitaxel, docetaxel"
GSE63885,Platinum+Taxane,dose_stratified_slope,0.35384615384615387,3642,68,10,"cisplatin, paclitaxel, docetaxel"
GSE66999,Docetaxel+Epirubicin+Pegfilgrastim,dose_averaged,0.4571428571428572,3634,76,2,"docetaxel, epirubicin"
GSE66999,Docetaxel+Epirubicin+Pegfilgrastim,dose_stratified,0.4571428571428572,3634,76,2,"docetaxel, epirubicin"
GSE66999,Docetaxel+Epirubicin+Pegfilgrastim,dose_stratified_slope,0.4571428571428572,3634,76,4,"docetaxel, epirubicin"
GSE6861,Cyclophosphamide+Epirubicin+Fluorouracil,dose_averaged,0.5140350877192983,3549,161,3,"cyclophosphamide, epirubicin, fluorouracil"
GSE6861,Cyclophosphamide+Epirubicin+Fluorouracil,dose_stratified,0.5339712918660288,3549,161,4,"cyclophosphamide, epirubicin, fluorouracil"
GSE6861,Cyclophosphamide+Epirubicin+Fluorouracil,dose_stratified_slope,0.5271132376395534,3549,161,8,"cyclophosphamide, epirubicin, fluorouracil"
GSE68871,VTD (Bortezomib+Thalidomide),dose_averaged,0.4909180166912126,3592,118,2,"bortezomib, thalidomide"
GSE68871,VTD (Bortezomib+Thalidomide),dose_stratified,0.5537555228276878,3592,118,3,"bortezomib, thalidomide"
GSE68871,VTD (Bortezomib+Thalidomide),dose_stratified_slope,0.478154148257241,3592,118,6,"bortezomib, thalidomide"
GSE72970,FOLFIRI (Fluorouracil+Irinotecan+Leucovorin),dose_averaged,0.4358574030705178,3586,124,3,"fluorouracil, irinotecan, leucovorin"
GSE72970,FOLFIRI (Fluorouracil+Irinotecan+Leucovorin),dose_stratified,0.4207650273224044,3586,124,4,"fluorouracil, irinotecan, leucovorin"
GSE72970,FOLFIRI (Fluorouracil+Irinotecan+Leucovorin),dose_stratified_slope,0.42206609419724167,3586,124,8,"fluorouracil, irinotecan, leucovorin"
GSE73578,Prednisone,dose_averaged,0.5739130434782609,3647,63,1,prednisone
GSE73578,Prednisone,dose_stratified,0.5739130434782609,3647,63,1,prednisone
GSE73578,Prednisone,dose_stratified_slope,0.5739130434782609,3647,63,2,prednisone
GSE82172,Tamoxifen,dose_averaged,0.4318429661941112,3558,152,1,tamoxifen
GSE82172,Tamoxifen,dose_stratified,0.4154852780806979,3558,152,3,tamoxifen
GSE82172,Tamoxifen,dose_stratified_slope,0.4216648491457652,3558,152,5,tamoxifen
GSE8970,Tipifarnib,dose_averaged,0.5621301775147929,3684,26,1,tipifarnib
GSE8970,Tipifarnib,dose_stratified,0.5621301775147929,3684,26,1,tipifarnib
GSE8970,Tipifarnib,dose_stratified_slope,0.5621301775147929,3684,26,2,tipifarnib
GSE9782,Bortezomib,dose_averaged,0.5066077441077441,3398,312,1,bortezomib
GSE9782,Bortezomib,dose_stratified,0.5091750841750842,3398,312,2,bortezomib
GSE9782,Bortezomib,dose_stratified_slope,0.5056397306397307,3398,312,4,bortezomib
