held_out_dataset	config	auc	n_test	n_test_pos	n_train	n_train_pos	n_features	drug
GSE32646	G_all_plus_ssgsea	0.6991	115	27	3283	1438	75	TFEC (Cyclophosphamide+Epirubicin+Fluorouracil+Paclitaxel)
GSE41998	A_baseline_reversal	0.3781	206	201	3192	1264	5	AC (Cyclophosphamide+Doxorubicin)+Ixabepilone
GSE41998	B_plus_drug_target	0.407	206	201	3192	1264	10	AC (Cyclophosphamide+Doxorubicin)+Ixabepilone
GSE41998	C_plus_depmap	0.5483	206	201	3192	1264	9	AC (Cyclophosphamide+Doxorubicin)+Ixabepilone
GSE41998	D_plus_progeny	0.3821	206	201	3192	1264	18	AC (Cyclophosphamide+Doxorubicin)+Ixabepilone
GSE41998	E_dt_plus_depmap	0.5363	206	201	3192	1264	14	AC (Cyclophosphamide+Doxorubicin)+Ixabepilone
GSE41998	F_dt_depmap_progeny	0.3891	206	201	3192	1264	27	AC (Cyclophosphamide+Doxorubicin)+Ixabepilone
GSE41998	G_all_plus_ssgsea	0.2488	206	201	3192	1264	75	AC (Cyclophosphamide+Doxorubicin)+Ixabepilone
GSE4779	A_baseline_reversal	0.4851	102	39	3296	1426	5	Cyclophosphamide+Epirubicin+Fluorouracil
GSE4779	B_plus_drug_target	0.488	102	39	3296	1426	10	Cyclophosphamide+Epirubicin+Fluorouracil
GSE4779	C_plus_depmap	0.5177	102	39	3296	1426	9	Cyclophosphamide+Epirubicin+Fluorouracil
GSE4779	D_plus_progeny	0.6146	102	39	3296	1426	18	Cyclophosphamide+Epirubicin+Fluorouracil
GSE4779	E_dt_plus_depmap	0.5035	102	39	3296	1426	14	Cyclophosphamide+Epirubicin+Fluorouracil
GSE4779	F_dt_depmap_progeny	0.6146	102	39	3296	1426	27	Cyclophosphamide+Epirubicin+Fluorouracil
GSE4779	G_all_plus_ssgsea	0.6166	102	39	3296	1426	75	Cyclophosphamide+Epirubicin+Fluorouracil
GSE48905	A_baseline_reversal	0.4361	39	15	3359	1450	5	Fulvestrant
GSE48905	B_plus_drug_target	0.4444	39	15	3359	1450	10	Fulvestrant
GSE48905	C_plus_depmap	0.425	39	15	3359	1450	9	Fulvestrant
GSE48905	D_plus_progeny	0.6667	39	15	3359	1450	18	Fulvestrant
GSE48905	E_dt_plus_depmap	0.4278	39	15	3359	1450	14	Fulvestrant
GSE48905	F_dt_depmap_progeny	0.6694	39	15	3359	1450	27	Fulvestrant
GSE48905	G_all_plus_ssgsea	0.5833	39	15	3359	1450	75	Fulvestrant
GSE50948	A_baseline_reversal	0.4898	156	53	3242	1412	5	AT (Doxorubicin+Paclitaxel)+CMF (Cyclophosphamide+Fluorouracil+Methotrexate)+Trastuzumab
GSE50948	B_plus_drug_target	0.4924	156	53	3242	1412	10	AT (Doxorubicin+Paclitaxel)+CMF (Cyclophosphamide+Fluorouracil+Methotrexate)+Trastuzumab
GSE50948	C_plus_depmap	0.518	156	53	3242	1412	9	AT (Doxorubicin+Paclitaxel)+CMF (Cyclophosphamide+Fluorouracil+Methotrexate)+Trastuzumab
GSE50948	D_plus_progeny	0.5975	156	53	3242	1412	18	AT (Doxorubicin+Paclitaxel)+CMF (Cyclophosphamide+Fluorouracil+Methotrexate)+Trastuzumab
GSE50948	E_dt_plus_depmap	0.5223	156	53	3242	1412	14	AT (Doxorubicin+Paclitaxel)+CMF (Cyclophosphamide+Fluorouracil+Methotrexate)+Trastuzumab
GSE50948	F_dt_depmap_progeny	0.6102	156	53	3242	1412	27	AT (Doxorubicin+Paclitaxel)+CMF (Cyclophosphamide+Fluorouracil+Methotrexate)+Trastuzumab
GSE50948	G_all_plus_ssgsea	0.6307	156	53	3242	1412	75	AT (Doxorubicin+Paclitaxel)+CMF (Cyclophosphamide+Fluorouracil+Methotrexate)+Trastuzumab
GSE5122	A_baseline_reversal	0.4434	57	4	3341	1461	5	Tipifarnib
GSE5122	B_plus_drug_target	0.4198	57	4	3341	1461	10	Tipifarnib
GSE5122	C_plus_depmap	0.4057	57	4	3341	1461	9	Tipifarnib
GSE5122	D_plus_progeny	0.6274	57	4	3341	1461	18	Tipifarnib
GSE5122	E_dt_plus_depmap	0.3774	57	4	3341	1461	14	Tipifarnib
GSE5122	F_dt_depmap_progeny	0.6085	57	4	3341	1461	27	Tipifarnib
GSE5122	G_all_plus_ssgsea	0.4575	57	4	3341	1461	75	Tipifarnib
GSE62321	A_baseline_reversal	0.4069	57	26	3341	1439	5	Fluorouracil+Irinotecan+Leucovorin
GSE62321	B_plus_drug_target	0.4615	57	26	3341	1439	10	Fluorouracil+Irinotecan+Leucovorin
GSE62321	C_plus_depmap	0.3672	57	26	3341	1439	9	Fluorouracil+Irinotecan+Leucovorin
GSE62321	D_plus_progeny	0.5682	57	26	3341	1439	18	Fluorouracil+Irinotecan+Leucovorin
GSE62321	E_dt_plus_depmap	0.4653	57	26	3341	1439	14	Fluorouracil+Irinotecan+Leucovorin
GSE62321	F_dt_depmap_progeny	0.5025	57	26	3341	1439	27	Fluorouracil+Irinotecan+Leucovorin
GSE62321	G_all_plus_ssgsea	0.5844	57	26	3341	1439	75	Fluorouracil+Irinotecan+Leucovorin
GSE63885	A_baseline_reversal	0.3897	68	65	3330	1400	5	Platinum+Taxane
GSE63885	B_plus_drug_target	0.4513	68	65	3330	1400	10	Platinum+Taxane
GSE63885	C_plus_depmap	0.5333	68	65	3330	1400	9	Platinum+Taxane
GSE63885	D_plus_progeny	0.559	68	65	3330	1400	18	Platinum+Taxane
GSE63885	E_dt_plus_depmap	0.5744	68	65	3330	1400	14	Platinum+Taxane
GSE63885	F_dt_depmap_progeny	0.5538	68	65	3330	1400	27	Platinum+Taxane
GSE63885	G_all_plus_ssgsea	0.2974	68	65	3330	1400	75	Platinum+Taxane
GSE66999	A_baseline_reversal	0.3714	76	70	3322	1395	5	Docetaxel+Epirubicin+Pegfilgrastim
GSE66999	B_plus_drug_target	0.3929	76	70	3322	1395	10	Docetaxel+Epirubicin+Pegfilgrastim
GSE66999	C_plus_depmap	0.5143	76	70	3322	1395	9	Docetaxel+Epirubicin+Pegfilgrastim
GSE66999	D_plus_progeny	0.7095	76	70	3322	1395	18	Docetaxel+Epirubicin+Pegfilgrastim
GSE66999	E_dt_plus_depmap	0.5095	76	70	3322	1395	14	Docetaxel+Epirubicin+Pegfilgrastim
GSE66999	F_dt_depmap_progeny	0.7119	76	70	3322	1395	27	Docetaxel+Epirubicin+Pegfilgrastim
GSE66999	G_all_plus_ssgsea	0.3429	76	70	3322	1395	75	Docetaxel+Epirubicin+Pegfilgrastim
GSE6861	A_baseline_reversal	0.4539	161	66	3237	1399	5	Cyclophosphamide+Epirubicin+Fluorouracil
GSE6861	B_plus_drug_target	0.459	161	66	3237	1399	10	Cyclophosphamide+Epirubicin+Fluorouracil
GSE6861	C_plus_depmap	0.4928	161	66	3237	1399	9	Cyclophosphamide+Epirubicin+Fluorouracil
GSE6861	D_plus_progeny	0.5742	161	66	3237	1399	18	Cyclophosphamide+Epirubicin+Fluorouracil
GSE6861	E_dt_plus_depmap	0.4876	161	66	3237	1399	14	Cyclophosphamide+Epirubicin+Fluorouracil
GSE6861	F_dt_depmap_progeny	0.5794	161	66	3237	1399	27	Cyclophosphamide+Epirubicin+Fluorouracil
GSE6861	G_all_plus_ssgsea	0.6041	161	66	3237	1399	75	Cyclophosphamide+Epirubicin+Fluorouracil
GSE68871	A_baseline_reversal	0.4786	118	97	3280	1368	5	VTD (Bortezomib+Thalidomide)
GSE68871	B_plus_drug_target	0.4482	118	97	3280	1368	10	VTD (Bortezomib+Thalidomide)
GSE68871	C_plus_depmap	0.5243	118	97	3280	1368	9	VTD (Bortezomib+Thalidomide)
GSE68871	D_plus_progeny	0.6038	118	97	3280	1368	18	VTD (Bortezomib+Thalidomide)
GSE68871	E_dt_plus_depmap	0.4953	118	97	3280	1368	14	VTD (Bortezomib+Thalidomide)
GSE68871	F_dt_depmap_progeny	0.6082	118	97	3280	1368	27	VTD (Bortezomib+Thalidomide)
GSE68871	G_all_plus_ssgsea	0.5704	118	97	3280	1368	75	VTD (Bortezomib+Thalidomide)
GSE72970	A_baseline_reversal	0.4429	124	63	3274	1402	5	FOLFIRI (Fluorouracil+Irinotecan+Leucovorin)
GSE72970	B_plus_drug_target	0.606	124	63	3274	1402	10	FOLFIRI (Fluorouracil+Irinotecan+Leucovorin)
GSE72970	C_plus_depmap	0.4593	124	63	3274	1402	9	FOLFIRI (Fluorouracil+Irinotecan+Leucovorin)
GSE72970	D_plus_progeny	0.5262	124	63	3274	1402	18	FOLFIRI (Fluorouracil+Irinotecan+Leucovorin)
GSE72970	E_dt_plus_depmap	0.6097	124	63	3274	1402	14	FOLFIRI (Fluorouracil+Irinotecan+Leucovorin)
GSE72970	F_dt_depmap_progeny	0.5787	124	63	3274	1402	27	FOLFIRI (Fluorouracil+Irinotecan+Leucovorin)
GSE72970	G_all_plus_ssgsea	0.587	124	63	3274	1402	75	FOLFIRI (Fluorouracil+Irinotecan+Leucovorin)
GSE73578	A_baseline_reversal	0.4826	63	40	3335	1425	5	Prednisone
GSE73578	B_plus_drug_target	0.4565	63	40	3335	1425	10	Prednisone
GSE73578	C_plus_depmap	0.3804	63	40	3335	1425	9	Prednisone
GSE73578	D_plus_progeny	0.7457	63	40	3335	1425	18	Prednisone
GSE73578	E_dt_plus_depmap	0.3587	63	40	3335	1425	14	Prednisone
GSE73578	F_dt_depmap_progeny	0.7391	63	40	3335	1425	27	Prednisone
GSE73578	G_all_plus_ssgsea	0.6348	63	40	3335	1425	75	Prednisone
GSE82172	A_baseline_reversal	0.4417	152	21	3246	1444	5	Tamoxifen
GSE82172	B_plus_drug_target	0.5969	152	21	3246	1444	10	Tamoxifen
GSE82172	C_plus_depmap	0.4289	152	21	3246	1444	9	Tamoxifen
GSE82172	D_plus_progeny	0.5507	152	21	3246	1444	18	Tamoxifen
GSE82172	E_dt_plus_depmap	0.5965	152	21	3246	1444	14	Tamoxifen
GSE82172	F_dt_depmap_progeny	0.5703	152	21	3246	1444	27	Tamoxifen
GSE82172	G_all_plus_ssgsea	0.538	152	21	3246	1444	75	Tamoxifen
GSE8970	A_baseline_reversal	0.6509	26	13	3372	1452	5	Tipifarnib
GSE8970	B_plus_drug_target	0.6331	26	13	3372	1452	10	Tipifarnib
GSE8970	C_plus_depmap	0.6923	26	13	3372	1452	9	Tipifarnib
GSE8970	D_plus_progeny	0.4734	26	13	3372	1452	18	Tipifarnib
GSE8970	E_dt_plus_depmap	0.6923	26	13	3372	1452	14	Tipifarnib
GSE8970	F_dt_depmap_progeny	0.4911	26	13	3372	1452	27	Tipifarnib
GSE8970	G_all_plus_ssgsea	0.2012	26	13	3372	1452	75	Tipifarnib
